,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,465,서울,용산구,후암동,2020,11
575,0,11170520,501,서울,용산구,용산2가동,2020,11
599,0,11170530,688,서울,용산구,남영동,2020,11
612,0,11170555,561,서울,용산구,청파동,2020,11
652,0,11170560,715,서울,용산구,원효로1동,2020,11
678,0,11170570,442,서울,용산구,원효로2동,2020,11
709,0,11170580,509,서울,용산구,효창동,2020,11
728,0,11170590,487,서울,용산구,용문동,2020,11
751,0,11170625,1023,서울,용산구,한강로동,2020,11
780,0,11170630,515,서울,용산구,이촌1동,2020,11
834,0,11170640,380,서울,용산구,이촌2동,2020,11
854,0,11170650,1289,서울,용산구,이태원1동,2020,11
865,0,11170660,742,서울,용산구,이태원2동,2020,11
883,0,11170685,752,서울,용산구,한남동,2020,11
921,0,11170690,607,서울,용산구,서빙고동,2020,11
947,0,11170700,416,서울,용산구,보광동,2020,11
19690,1,11170510,468,서울,용산구,후암동,2020,11
19725,1,11170520,493,서울,용산구,용산2가동,2020,11
19749,1,11170530,678,서울,용산구,남영동,2020,11
19762,1,11170555,562,서울,용산구,청파동,2020,11
19802,1,11170560,717,서울,용산구,원효로1동,2020,11
19828,1,11170570,438,서울,용산구,원효로2동,2020,11
19859,1,11170580,509,서울,용산구,효창동,2020,11
19878,1,11170590,495,서울,용산구,용문동,2020,11
19901,1,11170625,1007,서울,용산구,한강로동,2020,11
19930,1,11170630,513,서울,용산구,이촌1동,2020,11
19984,1,11170640,373,서울,용산구,이촌2동,2020,11
20004,1,11170650,1248,서울,용산구,이태원1동,2020,11
20015,1,11170660,738,서울,용산구,이태원2동,2020,11
20033,1,11170685,743,서울,용산구,한남동,2020,11
20071,1,11170690,612,서울,용산구,서빙고동,2020,11
20097,1,11170700,411,서울,용산구,보광동,2020,11
38840,2,11170510,469,서울,용산구,후암동,2020,11
38875,2,11170520,488,서울,용산구,용산2가동,2020,11
38899,2,11170530,670,서울,용산구,남영동,2020,11
38912,2,11170555,562,서울,용산구,청파동,2020,11
38952,2,11170560,716,서울,용산구,원효로1동,2020,11
38978,2,11170570,439,서울,용산구,원효로2동,2020,11
39009,2,11170580,515,서울,용산구,효창동,2020,11
39028,2,11170590,496,서울,용산구,용문동,2020,11
39051,2,11170625,1006,서울,용산구,한강로동,2020,11
39080,2,11170630,513,서울,용산구,이촌1동,2020,11
39134,2,11170640,369,서울,용산구,이촌2동,2020,11
39154,2,11170650,1204,서울,용산구,이태원1동,2020,11
39165,2,11170660,731,서울,용산구,이태원2동,2020,11
39183,2,11170685,737,서울,용산구,한남동,2020,11
39221,2,11170690,608,서울,용산구,서빙고동,2020,11
39247,2,11170700,412,서울,용산구,보광동,2020,11
57990,3,11170510,469,서울,용산구,후암동,2020,11
58025,3,11170520,490,서울,용산구,용산2가동,2020,11
58049,3,11170530,668,서울,용산구,남영동,2020,11
58062,3,11170555,562,서울,용산구,청파동,2020,11
58102,3,11170560,714,서울,용산구,원효로1동,2020,11
58128,3,11170570,438,서울,용산구,원효로2동,2020,11
58159,3,11170580,517,서울,용산구,효창동,2020,11
58178,3,11170590,495,서울,용산구,용문동,2020,11
58201,3,11170625,1008,서울,용산구,한강로동,2020,11
58230,3,11170630,512,서울,용산구,이촌1동,2020,11
58284,3,11170640,363,서울,용산구,이촌2동,2020,11
58304,3,11170650,1137,서울,용산구,이태원1동,2020,11
58315,3,11170660,728,서울,용산구,이태원2동,2020,11
58333,3,11170685,730,서울,용산구,한남동,2020,11
58371,3,11170690,613,서울,용산구,서빙고동,2020,11
58397,3,11170700,414,서울,용산구,보광동,2020,11
77140,4,11170510,470,서울,용산구,후암동,2020,11
77175,4,11170520,495,서울,용산구,용산2가동,2020,11
77199,4,11170530,683,서울,용산구,남영동,2020,11
77212,4,11170555,565,서울,용산구,청파동,2020,11
77252,4,11170560,713,서울,용산구,원효로1동,2020,11
77278,4,11170570,437,서울,용산구,원효로2동,2020,11
77309,4,11170580,517,서울,용산구,효창동,2020,11
77328,4,11170590,492,서울,용산구,용문동,2020,11
77351,4,11170625,1018,서울,용산구,한강로동,2020,11
77380,4,11170630,512,서울,용산구,이촌1동,2020,11
77434,4,11170640,364,서울,용산구,이촌2동,2020,11
77454,4,11170650,1073,서울,용산구,이태원1동,2020,11
77465,4,11170660,726,서울,용산구,이태원2동,2020,11
77483,4,11170685,723,서울,용산구,한남동,2020,11
77521,4,11170690,611,서울,용산구,서빙고동,2020,11
77547,4,11170700,416,서울,용산구,보광동,2020,11
96289,5,11170510,465,서울,용산구,후암동,2020,11
96324,5,11170520,494,서울,용산구,용산2가동,2020,11
96348,5,11170530,707,서울,용산구,남영동,2020,11
96361,5,11170555,569,서울,용산구,청파동,2020,11
96401,5,11170560,716,서울,용산구,원효로1동,2020,11
96427,5,11170570,439,서울,용산구,원효로2동,2020,11
96458,5,11170580,522,서울,용산구,효창동,2020,11
96477,5,11170590,485,서울,용산구,용문동,2020,11
96500,5,11170625,1052,서울,용산구,한강로동,2020,11
96529,5,11170630,522,서울,용산구,이촌1동,2020,11
96583,5,11170640,382,서울,용산구,이촌2동,2020,11
96603,5,11170650,1007,서울,용산구,이태원1동,2020,11
96614,5,11170660,725,서울,용산구,이태원2동,2020,11
96632,5,11170685,736,서울,용산구,한남동,2020,11
96670,5,11170690,630,서울,용산구,서빙고동,2020,11
96696,5,11170700,416,서울,용산구,보광동,2020,11
115439,6,11170510,460,서울,용산구,후암동,2020,11
115474,6,11170520,487,서울,용산구,용산2가동,2020,11
115498,6,11170530,768,서울,용산구,남영동,2020,11
115511,6,11170555,573,서울,용산구,청파동,2020,11
115551,6,11170560,726,서울,용산구,원효로1동,2020,11
115577,6,11170570,441,서울,용산구,원효로2동,2020,11
115608,6,11170580,535,서울,용산구,효창동,2020,11
115627,6,11170590,470,서울,용산구,용문동,2020,11
115650,6,11170625,1117,서울,용산구,한강로동,2020,11
115679,6,11170630,536,서울,용산구,이촌1동,2020,11
115733,6,11170640,391,서울,용산구,이촌2동,2020,11
115753,6,11170650,947,서울,용산구,이태원1동,2020,11
115764,6,11170660,725,서울,용산구,이태원2동,2020,11
115782,6,11170685,766,서울,용산구,한남동,2020,11
115820,6,11170690,668,서울,용산구,서빙고동,2020,11
115846,6,11170700,410,서울,용산구,보광동,2020,11
134592,7,11170510,447,서울,용산구,후암동,2020,11
134627,7,11170520,492,서울,용산구,용산2가동,2020,11
134651,7,11170530,905,서울,용산구,남영동,2020,11
134664,7,11170555,581,서울,용산구,청파동,2020,11
134704,7,11170560,765,서울,용산구,원효로1동,2020,11
134730,7,11170570,440,서울,용산구,원효로2동,2020,11
134761,7,11170580,558,서울,용산구,효창동,2020,11
134780,7,11170590,447,서울,용산구,용문동,2020,11
134803,7,11170625,1257,서울,용산구,한강로동,2020,11
134832,7,11170630,544,서울,용산구,이촌1동,2020,11
134886,7,11170640,421,서울,용산구,이촌2동,2020,11
134906,7,11170650,922,서울,용산구,이태원1동,2020,11
134917,7,11170660,715,서울,용산구,이태원2동,2020,11
134935,7,11170685,821,서울,용산구,한남동,2020,11
134973,7,11170690,700,서울,용산구,서빙고동,2020,11
134999,7,11170700,399,서울,용산구,보광동,2020,11
153742,8,11170510,439,서울,용산구,후암동,2020,11
153777,8,11170520,482,서울,용산구,용산2가동,2020,11
153801,8,11170530,1089,서울,용산구,남영동,2020,11
153814,8,11170555,588,서울,용산구,청파동,2020,11
153854,8,11170560,795,서울,용산구,원효로1동,2020,11
153880,8,11170570,437,서울,용산구,원효로2동,2020,11
153911,8,11170580,567,서울,용산구,효창동,2020,11
153930,8,11170590,413,서울,용산구,용문동,2020,11
153953,8,11170625,1448,서울,용산구,한강로동,2020,11
153982,8,11170630,529,서울,용산구,이촌1동,2020,11
154036,8,11170640,386,서울,용산구,이촌2동,2020,11
154056,8,11170650,934,서울,용산구,이태원1동,2020,11
154067,8,11170660,687,서울,용산구,이태원2동,2020,11
154085,8,11170685,856,서울,용산구,한남동,2020,11
154123,8,11170690,716,서울,용산구,서빙고동,2020,11
154149,8,11170700,387,서울,용산구,보광동,2020,11
172895,9,11170510,428,서울,용산구,후암동,2020,11
172930,9,11170520,479,서울,용산구,용산2가동,2020,11
172954,9,11170530,1213,서울,용산구,남영동,2020,11
172967,9,11170555,586,서울,용산구,청파동,2020,11
173007,9,11170560,822,서울,용산구,원효로1동,2020,11
173033,9,11170570,436,서울,용산구,원효로2동,2020,11
173064,9,11170580,572,서울,용산구,효창동,2020,11
173083,9,11170590,389,서울,용산구,용문동,2020,11
173106,9,11170625,1573,서울,용산구,한강로동,2020,11
173135,9,11170630,519,서울,용산구,이촌1동,2020,11
173189,9,11170640,385,서울,용산구,이촌2동,2020,11
173209,9,11170650,932,서울,용산구,이태원1동,2020,11
173220,9,11170660,669,서울,용산구,이태원2동,2020,11
173238,9,11170685,890,서울,용산구,한남동,2020,11
173276,9,11170690,718,서울,용산구,서빙고동,2020,11
173302,9,11170700,369,서울,용산구,보광동,2020,11
192048,10,11170510,421,서울,용산구,후암동,2020,11
192083,10,11170520,475,서울,용산구,용산2가동,2020,11
192107,10,11170530,1200,서울,용산구,남영동,2020,11
192120,10,11170555,588,서울,용산구,청파동,2020,11
192160,10,11170560,829,서울,용산구,원효로1동,2020,11
192186,10,11170570,426,서울,용산구,원효로2동,2020,11
192217,10,11170580,572,서울,용산구,효창동,2020,11
192236,10,11170590,374,서울,용산구,용문동,2020,11
192259,10,11170625,1676,서울,용산구,한강로동,2020,11
192288,10,11170630,506,서울,용산구,이촌1동,2020,11
192342,10,11170640,382,서울,용산구,이촌2동,2020,11
192362,10,11170650,929,서울,용산구,이태원1동,2020,11
192373,10,11170660,657,서울,용산구,이태원2동,2020,11
192391,10,11170685,915,서울,용산구,한남동,2020,11
192429,10,11170690,722,서울,용산구,서빙고동,2020,11
192455,10,11170700,361,서울,용산구,보광동,2020,11
211201,11,11170510,413,서울,용산구,후암동,2020,11
211236,11,11170520,465,서울,용산구,용산2가동,2020,11
211260,11,11170530,1262,서울,용산구,남영동,2020,11
211273,11,11170555,592,서울,용산구,청파동,2020,11
211313,11,11170560,816,서울,용산구,원효로1동,2020,11
211339,11,11170570,424,서울,용산구,원효로2동,2020,11
211370,11,11170580,572,서울,용산구,효창동,2020,11
211389,11,11170590,362,서울,용산구,용문동,2020,11
211412,11,11170625,1794,서울,용산구,한강로동,2020,11
211441,11,11170630,494,서울,용산구,이촌1동,2020,11
211495,11,11170640,367,서울,용산구,이촌2동,2020,11
211515,11,11170650,943,서울,용산구,이태원1동,2020,11
211526,11,11170660,656,서울,용산구,이태원2동,2020,11
211544,11,11170685,943,서울,용산구,한남동,2020,11
211582,11,11170690,725,서울,용산구,서빙고동,2020,11
211608,11,11170700,352,서울,용산구,보광동,2020,11
230354,12,11170510,400,서울,용산구,후암동,2020,11
230389,12,11170520,471,서울,용산구,용산2가동,2020,11
230413,12,11170530,1290,서울,용산구,남영동,2020,11
230426,12,11170555,583,서울,용산구,청파동,2020,11
230466,12,11170560,819,서울,용산구,원효로1동,2020,11
230492,12,11170570,420,서울,용산구,원효로2동,2020,11
230523,12,11170580,574,서울,용산구,효창동,2020,11
230542,12,11170590,352,서울,용산구,용문동,2020,11
230565,12,11170625,1842,서울,용산구,한강로동,2020,11
230594,12,11170630,484,서울,용산구,이촌1동,2020,11
230648,12,11170640,355,서울,용산구,이촌2동,2020,11
230668,12,11170650,978,서울,용산구,이태원1동,2020,11
230679,12,11170660,656,서울,용산구,이태원2동,2020,11
230697,12,11170685,968,서울,용산구,한남동,2020,11
230735,12,11170690,730,서울,용산구,서빙고동,2020,11
230761,12,11170700,344,서울,용산구,보광동,2020,11
249507,13,11170510,384,서울,용산구,후암동,2020,11
249542,13,11170520,469,서울,용산구,용산2가동,2020,11
249566,13,11170530,1291,서울,용산구,남영동,2020,11
249579,13,11170555,585,서울,용산구,청파동,2020,11
249619,13,11170560,807,서울,용산구,원효로1동,2020,11
249645,13,11170570,410,서울,용산구,원효로2동,2020,11
249676,13,11170580,573,서울,용산구,효창동,2020,11
249695,13,11170590,340,서울,용산구,용문동,2020,11
249718,13,11170625,1929,서울,용산구,한강로동,2020,11
249747,13,11170630,479,서울,용산구,이촌1동,2020,11
249801,13,11170640,360,서울,용산구,이촌2동,2020,11
249821,13,11170650,969,서울,용산구,이태원1동,2020,11
249832,13,11170660,635,서울,용산구,이태원2동,2020,11
249850,13,11170685,1011,서울,용산구,한남동,2020,11
249888,13,11170690,733,서울,용산구,서빙고동,2020,11
249914,13,11170700,338,서울,용산구,보광동,2020,11
268660,14,11170510,382,서울,용산구,후암동,2020,11
268695,14,11170520,466,서울,용산구,용산2가동,2020,11
268719,14,11170530,1301,서울,용산구,남영동,2020,11
268732,14,11170555,582,서울,용산구,청파동,2020,11
268772,14,11170560,794,서울,용산구,원효로1동,2020,11
268798,14,11170570,416,서울,용산구,원효로2동,2020,11
268829,14,11170580,587,서울,용산구,효창동,2020,11
268848,14,11170590,339,서울,용산구,용문동,2020,11
268871,14,11170625,1930,서울,용산구,한강로동,2020,11
268900,14,11170630,476,서울,용산구,이촌1동,2020,11
268954,14,11170640,359,서울,용산구,이촌2동,2020,11
268974,14,11170650,961,서울,용산구,이태원1동,2020,11
268985,14,11170660,625,서울,용산구,이태원2동,2020,11
269003,14,11170685,997,서울,용산구,한남동,2020,11
269041,14,11170690,757,서울,용산구,서빙고동,2020,11
269067,14,11170700,342,서울,용산구,보광동,2020,11
287813,15,11170510,382,서울,용산구,후암동,2020,11
287848,15,11170520,465,서울,용산구,용산2가동,2020,11
287872,15,11170530,1313,서울,용산구,남영동,2020,11
287885,15,11170555,587,서울,용산구,청파동,2020,11
287925,15,11170560,796,서울,용산구,원효로1동,2020,11
287951,15,11170570,413,서울,용산구,원효로2동,2020,11
287982,15,11170580,589,서울,용산구,효창동,2020,11
288001,15,11170590,340,서울,용산구,용문동,2020,11
288024,15,11170625,1953,서울,용산구,한강로동,2020,11
288053,15,11170630,478,서울,용산구,이촌1동,2020,11
288107,15,11170640,355,서울,용산구,이촌2동,2020,11
288127,15,11170650,949,서울,용산구,이태원1동,2020,11
288138,15,11170660,606,서울,용산구,이태원2동,2020,11
288156,15,11170685,991,서울,용산구,한남동,2020,11
288194,15,11170690,753,서울,용산구,서빙고동,2020,11
288220,15,11170700,337,서울,용산구,보광동,2020,11
306966,16,11170510,381,서울,용산구,후암동,2020,11
307001,16,11170520,476,서울,용산구,용산2가동,2020,11
307025,16,11170530,1323,서울,용산구,남영동,2020,11
307038,16,11170555,583,서울,용산구,청파동,2020,11
307078,16,11170560,793,서울,용산구,원효로1동,2020,11
307104,16,11170570,402,서울,용산구,원효로2동,2020,11
307135,16,11170580,594,서울,용산구,효창동,2020,11
307154,16,11170590,340,서울,용산구,용문동,2020,11
307177,16,11170625,1906,서울,용산구,한강로동,2020,11
307206,16,11170630,481,서울,용산구,이촌1동,2020,11
307260,16,11170640,355,서울,용산구,이촌2동,2020,11
307280,16,11170650,953,서울,용산구,이태원1동,2020,11
307291,16,11170660,615,서울,용산구,이태원2동,2020,11
307309,16,11170685,976,서울,용산구,한남동,2020,11
307347,16,11170690,733,서울,용산구,서빙고동,2020,11
307373,16,11170700,343,서울,용산구,보광동,2020,11
326119,17,11170510,381,서울,용산구,후암동,2020,11
326154,17,11170520,480,서울,용산구,용산2가동,2020,11
326178,17,11170530,1300,서울,용산구,남영동,2020,11
326191,17,11170555,580,서울,용산구,청파동,2020,11
326231,17,11170560,790,서울,용산구,원효로1동,2020,11
326257,17,11170570,403,서울,용산구,원효로2동,2020,11
326288,17,11170580,594,서울,용산구,효창동,2020,11
326307,17,11170590,351,서울,용산구,용문동,2020,11
326330,17,11170625,1851,서울,용산구,한강로동,2020,11
326359,17,11170630,493,서울,용산구,이촌1동,2020,11
326413,17,11170640,370,서울,용산구,이촌2동,2020,11
326433,17,11170650,959,서울,용산구,이태원1동,2020,11
326444,17,11170660,613,서울,용산구,이태원2동,2020,11
326462,17,11170685,954,서울,용산구,한남동,2020,11
326500,17,11170690,722,서울,용산구,서빙고동,2020,11
326526,17,11170700,343,서울,용산구,보광동,2020,11
345272,18,11170510,381,서울,용산구,후암동,2020,11
345307,18,11170520,488,서울,용산구,용산2가동,2020,11
345331,18,11170530,1164,서울,용산구,남영동,2020,11
345344,18,11170555,581,서울,용산구,청파동,2020,11
345384,18,11170560,774,서울,용산구,원효로1동,2020,11
345410,18,11170570,388,서울,용산구,원효로2동,2020,11
345441,18,11170580,608,서울,용산구,효창동,2020,11
345460,18,11170590,367,서울,용산구,용문동,2020,11
345483,18,11170625,1724,서울,용산구,한강로동,2020,11
345512,18,11170630,500,서울,용산구,이촌1동,2020,11
345566,18,11170640,356,서울,용산구,이촌2동,2020,11
345586,18,11170650,943,서울,용산구,이태원1동,2020,11
345597,18,11170660,627,서울,용산구,이태원2동,2020,11
345615,18,11170685,936,서울,용산구,한남동,2020,11
345653,18,11170690,687,서울,용산구,서빙고동,2020,11
345679,18,11170700,345,서울,용산구,보광동,2020,11
364425,19,11170510,390,서울,용산구,후암동,2020,11
364460,19,11170520,493,서울,용산구,용산2가동,2020,11
364484,19,11170530,1073,서울,용산구,남영동,2020,11
364497,19,11170555,582,서울,용산구,청파동,2020,11
364537,19,11170560,748,서울,용산구,원효로1동,2020,11
364563,19,11170570,389,서울,용산구,원효로2동,2020,11
364594,19,11170580,612,서울,용산구,효창동,2020,11
364613,19,11170590,383,서울,용산구,용문동,2020,11
364636,19,11170625,1563,서울,용산구,한강로동,2020,11
364665,19,11170630,491,서울,용산구,이촌1동,2020,11
364719,19,11170640,368,서울,용산구,이촌2동,2020,11
364739,19,11170650,927,서울,용산구,이태원1동,2020,11
364750,19,11170660,644,서울,용산구,이태원2동,2020,11
364768,19,11170685,904,서울,용산구,한남동,2020,11
364806,19,11170690,675,서울,용산구,서빙고동,2020,11
364832,19,11170700,357,서울,용산구,보광동,2020,11
383578,20,11170510,402,서울,용산구,후암동,2020,11
383613,20,11170520,502,서울,용산구,용산2가동,2020,11
383637,20,11170530,945,서울,용산구,남영동,2020,11
383650,20,11170555,575,서울,용산구,청파동,2020,11
383690,20,11170560,752,서울,용산구,원효로1동,2020,11
383716,20,11170570,398,서울,용산구,원효로2동,2020,11
383747,20,11170580,624,서울,용산구,효창동,2020,11
383766,20,11170590,396,서울,용산구,용문동,2020,11
383789,20,11170625,1398,서울,용산구,한강로동,2020,11
383818,20,11170630,503,서울,용산구,이촌1동,2020,11
383872,20,11170640,378,서울,용산구,이촌2동,2020,11
383892,20,11170650,911,서울,용산구,이태원1동,2020,11
383903,20,11170660,654,서울,용산구,이태원2동,2020,11
