,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
12,13,11170625,1254,서울,용산구,한강로동,2020,9
391,6,11170560,638,서울,용산구,원효로1동,2020,9
528,13,11170560,797,서울,용산구,원효로1동,2020,9
1860,2,11170510,492,서울,용산구,후암동,2020,9
1861,9,11170510,548,서울,용산구,후암동,2020,9
1862,16,11170510,415,서울,용산구,후암동,2020,9
1863,23,11170510,480,서울,용산구,후암동,2020,9
1864,6,11170510,474,서울,용산구,후암동,2020,9
1865,13,11170510,659,서울,용산구,후암동,2020,9
1866,20,11170510,461,서울,용산구,후암동,2020,9
1867,3,11170510,437,서울,용산구,후암동,2020,9
1868,10,11170510,646,서울,용산구,후암동,2020,9
1869,17,11170510,555,서울,용산구,후암동,2020,9
1870,0,11170510,595,서울,용산구,후암동,2020,9
1871,7,11170510,519,서울,용산구,후암동,2020,9
1872,14,11170510,399,서울,용산구,후암동,2020,9
1873,21,11170510,432,서울,용산구,후암동,2020,9
1874,4,11170510,482,서울,용산구,후암동,2020,9
1875,11,11170510,516,서울,용산구,후암동,2020,9
1876,18,11170510,455,서울,용산구,후암동,2020,9
1877,1,11170510,577,서울,용산구,후암동,2020,9
1878,8,11170510,433,서울,용산구,후암동,2020,9
1879,15,11170510,440,서울,용산구,후암동,2020,9
1880,22,11170510,458,서울,용산구,후암동,2020,9
1881,5,11170510,693,서울,용산구,후암동,2020,9
1882,12,11170510,449,서울,용산구,후암동,2020,9
1883,19,11170510,395,서울,용산구,후암동,2020,9
1982,3,11170520,684,서울,용산구,용산2가동,2020,9
1983,10,11170520,592,서울,용산구,용산2가동,2020,9
1984,17,11170520,588,서울,용산구,용산2가동,2020,9
1985,5,11170520,546,서울,용산구,용산2가동,2020,9
1986,12,11170520,440,서울,용산구,용산2가동,2020,9
1987,19,11170520,466,서울,용산구,용산2가동,2020,9
1988,2,11170520,494,서울,용산구,용산2가동,2020,9
1989,9,11170520,554,서울,용산구,용산2가동,2020,9
1990,16,11170520,479,서울,용산구,용산2가동,2020,9
1991,23,11170520,595,서울,용산구,용산2가동,2020,9
1992,6,11170520,475,서울,용산구,용산2가동,2020,9
1993,13,11170520,481,서울,용산구,용산2가동,2020,9
1994,20,11170520,499,서울,용산구,용산2가동,2020,9
1998,0,11170520,705,서울,용산구,용산2가동,2020,9
1999,7,11170520,514,서울,용산구,용산2가동,2020,9
2000,14,11170520,421,서울,용산구,용산2가동,2020,9
2001,21,11170520,679,서울,용산구,용산2가동,2020,9
2002,4,11170520,617,서울,용산구,용산2가동,2020,9
2003,11,11170520,579,서울,용산구,용산2가동,2020,9
2004,18,11170520,534,서울,용산구,용산2가동,2020,9
2005,1,11170520,462,서울,용산구,용산2가동,2020,9
2006,8,11170520,469,서울,용산구,용산2가동,2020,9
2007,15,11170520,469,서울,용산구,용산2가동,2020,9
2008,22,11170520,567,서울,용산구,용산2가동,2020,9
2064,6,11170530,666,서울,용산구,남영동,2020,9
2065,13,11170530,1069,서울,용산구,남영동,2020,9
2066,20,11170530,664,서울,용산구,남영동,2020,9
2067,1,11170530,589,서울,용산구,남영동,2020,9
2068,8,11170530,924,서울,용산구,남영동,2020,9
2069,15,11170530,1178,서울,용산구,남영동,2020,9
2070,22,11170530,617,서울,용산구,남영동,2020,9
2071,5,11170530,550,서울,용산구,남영동,2020,9
2072,12,11170530,1147,서울,용산구,남영동,2020,9
2073,19,11170530,863,서울,용산구,남영동,2020,9
2074,2,11170530,677,서울,용산구,남영동,2020,9
2075,9,11170530,1021,서울,용산구,남영동,2020,9
2076,16,11170530,921,서울,용산구,남영동,2020,9
2077,23,11170530,566,서울,용산구,남영동,2020,9
2081,3,11170530,575,서울,용산구,남영동,2020,9
2082,10,11170530,1057,서울,용산구,남영동,2020,9
2083,17,11170530,963,서울,용산구,남영동,2020,9
2084,0,11170530,679,서울,용산구,남영동,2020,9
2085,7,11170530,753,서울,용산구,남영동,2020,9
2086,14,11170530,980,서울,용산구,남영동,2020,9
2087,21,11170530,645,서울,용산구,남영동,2020,9
2088,4,11170530,793,서울,용산구,남영동,2020,9
2089,11,11170530,1009,서울,용산구,남영동,2020,9
2090,18,11170530,824,서울,용산구,남영동,2020,9
2109,5,11170555,688,서울,용산구,청파동,2020,9
2110,12,11170555,661,서울,용산구,청파동,2020,9
2111,19,11170555,631,서울,용산구,청파동,2020,9
2112,2,11170555,588,서울,용산구,청파동,2020,9
2113,9,11170555,514,서울,용산구,청파동,2020,9
2114,16,11170555,516,서울,용산구,청파동,2020,9
2115,23,11170555,533,서울,용산구,청파동,2020,9
2116,6,11170555,620,서울,용산구,청파동,2020,9
2117,13,11170555,568,서울,용산구,청파동,2020,9
2118,20,11170555,627,서울,용산구,청파동,2020,9
2119,3,11170555,512,서울,용산구,청파동,2020,9
2120,10,11170555,558,서울,용산구,청파동,2020,9
2121,17,11170555,530,서울,용산구,청파동,2020,9
2122,0,11170555,750,서울,용산구,청파동,2020,9
2123,7,11170555,555,서울,용산구,청파동,2020,9
2124,14,11170555,502,서울,용산구,청파동,2020,9
2125,21,11170555,674,서울,용산구,청파동,2020,9
2126,4,11170555,651,서울,용산구,청파동,2020,9
2127,11,11170555,648,서울,용산구,청파동,2020,9
2128,18,11170555,591,서울,용산구,청파동,2020,9
2129,1,11170555,497,서울,용산구,청파동,2020,9
2130,8,11170555,517,서울,용산구,청파동,2020,9
2131,15,11170555,546,서울,용산구,청파동,2020,9
2132,22,11170555,621,서울,용산구,청파동,2020,9
2247,2,11170560,638,서울,용산구,원효로1동,2020,9
2248,9,11170560,812,서울,용산구,원효로1동,2020,9
2249,16,11170560,680,서울,용산구,원효로1동,2020,9
2250,23,11170560,642,서울,용산구,원효로1동,2020,9
2253,20,11170560,632,서울,용산구,원효로1동,2020,9
2254,3,11170560,852,서울,용산구,원효로1동,2020,9
2255,10,11170560,723,서울,용산구,원효로1동,2020,9
2256,17,11170560,661,서울,용산구,원효로1동,2020,9
2257,4,11170560,751,서울,용산구,원효로1동,2020,9
2258,11,11170560,827,서울,용산구,원효로1동,2020,9
2259,18,11170560,776,서울,용산구,원효로1동,2020,9
2260,5,11170560,689,서울,용산구,원효로1동,2020,9
2261,12,11170560,675,서울,용산구,원효로1동,2020,9
2262,19,11170560,618,서울,용산구,원효로1동,2020,9
2264,0,11170560,630,서울,용산구,원효로1동,2020,9
2265,7,11170560,769,서울,용산구,원효로1동,2020,9
2266,14,11170560,723,서울,용산구,원효로1동,2020,9
2267,21,11170560,737,서울,용산구,원효로1동,2020,9
2268,1,11170560,599,서울,용산구,원효로1동,2020,9
2269,8,11170560,714,서울,용산구,원효로1동,2020,9
2270,15,11170560,689,서울,용산구,원효로1동,2020,9
2271,22,11170560,889,서울,용산구,원효로1동,2020,9
2333,2,11170570,485,서울,용산구,원효로2동,2020,9
2334,9,11170570,434,서울,용산구,원효로2동,2020,9
2335,16,11170570,587,서울,용산구,원효로2동,2020,9
2336,23,11170570,574,서울,용산구,원효로2동,2020,9
2337,6,11170570,590,서울,용산구,원효로2동,2020,9
2338,13,11170570,546,서울,용산구,원효로2동,2020,9
2339,20,11170570,406,서울,용산구,원효로2동,2020,9
2340,3,11170570,442,서울,용산구,원효로2동,2020,9
2341,10,11170570,488,서울,용산구,원효로2동,2020,9
2342,17,11170570,598,서울,용산구,원효로2동,2020,9
2343,0,11170570,484,서울,용산구,원효로2동,2020,9
2344,7,11170570,570,서울,용산구,원효로2동,2020,9
2345,14,11170570,455,서울,용산구,원효로2동,2020,9
2346,21,11170570,479,서울,용산구,원효로2동,2020,9
2347,4,11170570,453,서울,용산구,원효로2동,2020,9
2348,11,11170570,763,서울,용산구,원효로2동,2020,9
2349,18,11170570,457,서울,용산구,원효로2동,2020,9
2350,1,11170570,409,서울,용산구,원효로2동,2020,9
