,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,463,서울,용산구,후암동,2020,2
575,0,11170520,513,서울,용산구,용산2가동,2020,2
599,0,11170530,752,서울,용산구,남영동,2020,2
612,0,11170555,592,서울,용산구,청파동,2020,2
652,0,11170560,749,서울,용산구,원효로1동,2020,2
678,0,11170570,476,서울,용산구,원효로2동,2020,2
709,0,11170580,506,서울,용산구,효창동,2020,2
728,0,11170590,498,서울,용산구,용문동,2020,2
751,0,11170625,962,서울,용산구,한강로동,2020,2
780,0,11170630,527,서울,용산구,이촌1동,2020,2
834,0,11170640,421,서울,용산구,이촌2동,2020,2
854,0,11170650,1219,서울,용산구,이태원1동,2020,2
865,0,11170660,736,서울,용산구,이태원2동,2020,2
883,0,11170685,865,서울,용산구,한남동,2020,2
921,0,11170690,579,서울,용산구,서빙고동,2020,2
947,0,11170700,450,서울,용산구,보광동,2020,2
19693,1,11170510,467,서울,용산구,후암동,2020,2
19728,1,11170520,508,서울,용산구,용산2가동,2020,2
19752,1,11170530,728,서울,용산구,남영동,2020,2
19765,1,11170555,589,서울,용산구,청파동,2020,2
19805,1,11170560,743,서울,용산구,원효로1동,2020,2
19831,1,11170570,478,서울,용산구,원효로2동,2020,2
19862,1,11170580,506,서울,용산구,효창동,2020,2
19881,1,11170590,502,서울,용산구,용문동,2020,2
19904,1,11170625,946,서울,용산구,한강로동,2020,2
19933,1,11170630,524,서울,용산구,이촌1동,2020,2
19987,1,11170640,419,서울,용산구,이촌2동,2020,2
20007,1,11170650,1165,서울,용산구,이태원1동,2020,2
20018,1,11170660,735,서울,용산구,이태원2동,2020,2
20036,1,11170685,858,서울,용산구,한남동,2020,2
20074,1,11170690,577,서울,용산구,서빙고동,2020,2
20100,1,11170700,455,서울,용산구,보광동,2020,2
38846,2,11170510,471,서울,용산구,후암동,2020,2
38881,2,11170520,502,서울,용산구,용산2가동,2020,2
38905,2,11170530,721,서울,용산구,남영동,2020,2
38918,2,11170555,591,서울,용산구,청파동,2020,2
38958,2,11170560,744,서울,용산구,원효로1동,2020,2
38984,2,11170570,480,서울,용산구,원효로2동,2020,2
39015,2,11170580,507,서울,용산구,효창동,2020,2
39034,2,11170590,506,서울,용산구,용문동,2020,2
39057,2,11170625,934,서울,용산구,한강로동,2020,2
39086,2,11170630,522,서울,용산구,이촌1동,2020,2
39140,2,11170640,423,서울,용산구,이촌2동,2020,2
39160,2,11170650,1124,서울,용산구,이태원1동,2020,2
39171,2,11170660,735,서울,용산구,이태원2동,2020,2
39189,2,11170685,844,서울,용산구,한남동,2020,2
39227,2,11170690,575,서울,용산구,서빙고동,2020,2
39253,2,11170700,460,서울,용산구,보광동,2020,2
57999,3,11170510,472,서울,용산구,후암동,2020,2
58034,3,11170520,505,서울,용산구,용산2가동,2020,2
58058,3,11170530,707,서울,용산구,남영동,2020,2
58071,3,11170555,592,서울,용산구,청파동,2020,2
58111,3,11170560,745,서울,용산구,원효로1동,2020,2
58137,3,11170570,483,서울,용산구,원효로2동,2020,2
58168,3,11170580,509,서울,용산구,효창동,2020,2
58187,3,11170590,507,서울,용산구,용문동,2020,2
58210,3,11170625,928,서울,용산구,한강로동,2020,2
58239,3,11170630,523,서울,용산구,이촌1동,2020,2
58293,3,11170640,422,서울,용산구,이촌2동,2020,2
58313,3,11170650,1048,서울,용산구,이태원1동,2020,2
58324,3,11170660,734,서울,용산구,이태원2동,2020,2
58342,3,11170685,829,서울,용산구,한남동,2020,2
