,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
539,0,11170510,467,서울,용산구,후암동,2020,8
574,0,11170520,485,서울,용산구,용산2가동,2020,8
598,0,11170530,605,서울,용산구,남영동,2020,8
611,0,11170555,485,서울,용산구,청파동,2020,8
651,0,11170560,551,서울,용산구,원효로1동,2020,8
677,0,11170570,450,서울,용산구,원효로2동,2020,8
708,0,11170580,477,서울,용산구,효창동,2020,8
727,0,11170590,436,서울,용산구,용문동,2020,8
750,0,11170625,720,서울,용산구,한강로동,2020,8
779,0,11170630,498,서울,용산구,이촌1동,2020,8
833,0,11170640,408,서울,용산구,이촌2동,2020,8
853,0,11170650,757,서울,용산구,이태원1동,2020,8
864,0,11170660,614,서울,용산구,이태원2동,2020,8
882,0,11170685,611,서울,용산구,한남동,2020,8
920,0,11170690,487,서울,용산구,서빙고동,2020,8
946,0,11170700,414,서울,용산구,보광동,2020,8
19692,1,11170510,463,서울,용산구,후암동,2020,8
19727,1,11170520,440,서울,용산구,용산2가동,2020,8
19751,1,11170530,553,서울,용산구,남영동,2020,8
19764,1,11170555,516,서울,용산구,청파동,2020,8
19804,1,11170560,571,서울,용산구,원효로1동,2020,8
19830,1,11170570,411,서울,용산구,원효로2동,2020,8
19861,1,11170580,464,서울,용산구,효창동,2020,8
19880,1,11170590,477,서울,용산구,용문동,2020,8
19903,1,11170625,691,서울,용산구,한강로동,2020,8
19932,1,11170630,464,서울,용산구,이촌1동,2020,8
19986,1,11170640,457,서울,용산구,이촌2동,2020,8
20006,1,11170650,796,서울,용산구,이태원1동,2020,8
20017,1,11170660,607,서울,용산구,이태원2동,2020,8
20035,1,11170685,629,서울,용산구,한남동,2020,8
20073,1,11170690,527,서울,용산구,서빙고동,2020,8
20099,1,11170700,454,서울,용산구,보광동,2020,8
38845,2,11170510,471,서울,용산구,후암동,2020,8
38880,2,11170520,465,서울,용산구,용산2가동,2020,8
38904,2,11170530,605,서울,용산구,남영동,2020,8
38917,2,11170555,538,서울,용산구,청파동,2020,8
38957,2,11170560,594,서울,용산구,원효로1동,2020,8
38983,2,11170570,467,서울,용산구,원효로2동,2020,8
39014,2,11170580,503,서울,용산구,효창동,2020,8
39033,2,11170590,508,서울,용산구,용문동,2020,8
39056,2,11170625,716,서울,용산구,한강로동,2020,8
39085,2,11170630,514,서울,용산구,이촌1동,2020,8
39139,2,11170640,457,서울,용산구,이촌2동,2020,8
39159,2,11170650,765,서울,용산구,이태원1동,2020,8
39170,2,11170660,620,서울,용산구,이태원2동,2020,8
39188,2,11170685,620,서울,용산구,한남동,2020,8
39226,2,11170690,546,서울,용산구,서빙고동,2020,8
39252,2,11170700,433,서울,용산구,보광동,2020,8
57997,3,11170510,485,서울,용산구,후암동,2020,8
58032,3,11170520,630,서울,용산구,용산2가동,2020,8
58056,3,11170530,1069,서울,용산구,남영동,2020,8
58069,3,11170555,742,서울,용산구,청파동,2020,8
58109,3,11170560,682,서울,용산구,원효로1동,2020,8
58135,3,11170570,895,서울,용산구,원효로2동,2020,8
58166,3,11170580,991,서울,용산구,효창동,2020,8
58185,3,11170590,622,서울,용산구,용문동,2020,8
58208,3,11170625,836,서울,용산구,한강로동,2020,8
58237,3,11170630,1005,서울,용산구,이촌1동,2020,8
58291,3,11170640,728,서울,용산구,이촌2동,2020,8
58311,3,11170650,819,서울,용산구,이태원1동,2020,8
58322,3,11170660,1112,서울,용산구,이태원2동,2020,8
58340,3,11170685,1076,서울,용산구,한남동,2020,8
58378,3,11170690,641,서울,용산구,서빙고동,2020,8
58404,3,11170700,527,서울,용산구,보광동,2020,8
77149,4,11170510,964,서울,용산구,후암동,2020,8
77184,4,11170520,955,서울,용산구,용산2가동,2020,8
77208,4,11170530,681,서울,용산구,남영동,2020,8
77221,4,11170555,832,서울,용산구,청파동,2020,8
77261,4,11170560,1094,서울,용산구,원효로1동,2020,8
77287,4,11170570,642,서울,용산구,원효로2동,2020,8
77318,4,11170580,583,서울,용산구,효창동,2020,8
77337,4,11170590,991,서울,용산구,용문동,2020,8
77360,4,11170625,1126,서울,용산구,한강로동,2020,8
77389,4,11170630,552,서울,용산구,이촌1동,2020,8
77443,4,11170640,518,서울,용산구,이촌2동,2020,8
77463,4,11170650,757,서울,용산구,이태원1동,2020,8
77474,4,11170660,665,서울,용산구,이태원2동,2020,8
77492,4,11170685,667,서울,용산구,한남동,2020,8
77530,4,11170690,595,서울,용산구,서빙고동,2020,8
77556,4,11170700,497,서울,용산구,보광동,2020,8
96301,5,11170510,526,서울,용산구,후암동,2020,8
96336,5,11170520,556,서울,용산구,용산2가동,2020,8
96360,5,11170530,650,서울,용산구,남영동,2020,8
96373,5,11170555,578,서울,용산구,청파동,2020,8
96413,5,11170560,673,서울,용산구,원효로1동,2020,8
96439,5,11170570,520,서울,용산구,원효로2동,2020,8
96470,5,11170580,550,서울,용산구,효창동,2020,8
96489,5,11170590,548,서울,용산구,용문동,2020,8
96512,5,11170625,808,서울,용산구,한강로동,2020,8
96541,5,11170630,547,서울,용산구,이촌1동,2020,8
96595,5,11170640,501,서울,용산구,이촌2동,2020,8
96615,5,11170650,764,서울,용산구,이태원1동,2020,8
96626,5,11170660,670,서울,용산구,이태원2동,2020,8
96644,5,11170685,657,서울,용산구,한남동,2020,8
96682,5,11170690,603,서울,용산구,서빙고동,2020,8
96708,5,11170700,516,서울,용산구,보광동,2020,8
115454,6,11170510,508,서울,용산구,후암동,2020,8
115489,6,11170520,613,서울,용산구,용산2가동,2020,8
115513,6,11170530,843,서울,용산구,남영동,2020,8
115526,6,11170555,752,서울,용산구,청파동,2020,8
115566,6,11170560,755,서울,용산구,원효로1동,2020,8
115592,6,11170570,618,서울,용산구,원효로2동,2020,8
115623,6,11170580,732,서울,용산구,효창동,2020,8
115642,6,11170590,629,서울,용산구,용문동,2020,8
115665,6,11170625,906,서울,용산구,한강로동,2020,8
115694,6,11170630,727,서울,용산구,이촌1동,2020,8
115748,6,11170640,658,서울,용산구,이촌2동,2020,8
115768,6,11170650,811,서울,용산구,이태원1동,2020,8
115779,6,11170660,841,서울,용산구,이태원2동,2020,8
115797,6,11170685,809,서울,용산구,한남동,2020,8
115835,6,11170690,688,서울,용산구,서빙고동,2020,8
115861,6,11170700,674,서울,용산구,보광동,2020,8
134607,7,11170510,634,서울,용산구,후암동,2020,8
134642,7,11170520,611,서울,용산구,용산2가동,2020,8
134666,7,11170530,834,서울,용산구,남영동,2020,8
134679,7,11170555,758,서울,용산구,청파동,2020,8
134719,7,11170560,768,서울,용산구,원효로1동,2020,8
134745,7,11170570,595,서울,용산구,원효로2동,2020,8
134776,7,11170580,710,서울,용산구,효창동,2020,8
134795,7,11170590,684,서울,용산구,용문동,2020,8
134818,7,11170625,944,서울,용산구,한강로동,2020,8
134847,7,11170630,492,서울,용산구,이촌1동,2020,8
134901,7,11170640,436,서울,용산구,이촌2동,2020,8
134921,7,11170650,650,서울,용산구,이태원1동,2020,8
134932,7,11170660,593,서울,용산구,이태원2동,2020,8
134950,7,11170685,607,서울,용산구,한남동,2020,8
134988,7,11170690,554,서울,용산구,서빙고동,2020,8
135014,7,11170700,407,서울,용산구,보광동,2020,8
153760,8,11170510,443,서울,용산구,후암동,2020,8
153795,8,11170520,469,서울,용산구,용산2가동,2020,8
153819,8,11170530,673,서울,용산구,남영동,2020,8
153832,8,11170555,520,서울,용산구,청파동,2020,8
153872,8,11170560,609,서울,용산구,원효로1동,2020,8
153898,8,11170570,449,서울,용산구,원효로2동,2020,8
153929,8,11170580,481,서울,용산구,효창동,2020,8
153948,8,11170590,440,서울,용산구,용문동,2020,8
153971,8,11170625,826,서울,용산구,한강로동,2020,8
154000,8,11170630,479,서울,용산구,이촌1동,2020,8
154054,8,11170640,437,서울,용산구,이촌2동,2020,8
154074,8,11170650,664,서울,용산구,이태원1동,2020,8
154085,8,11170660,591,서울,용산구,이태원2동,2020,8
154103,8,11170685,597,서울,용산구,한남동,2020,8
154141,8,11170690,555,서울,용산구,서빙고동,2020,8
154167,8,11170700,434,서울,용산구,보광동,2020,8
172913,9,11170510,415,서울,용산구,후암동,2020,8
172948,9,11170520,497,서울,용산구,용산2가동,2020,8
172972,9,11170530,782,서울,용산구,남영동,2020,8
172985,9,11170555,600,서울,용산구,청파동,2020,8
173025,9,11170560,641,서울,용산구,원효로1동,2020,8
173051,9,11170570,485,서울,용산구,원효로2동,2020,8
173082,9,11170580,565,서울,용산구,효창동,2020,8
173101,9,11170590,463,서울,용산구,용문동,2020,8
173124,9,11170625,906,서울,용산구,한강로동,2020,8
173153,9,11170630,539,서울,용산구,이촌1동,2020,8
173207,9,11170640,487,서울,용산구,이촌2동,2020,8
173227,9,11170650,739,서울,용산구,이태원1동,2020,8
173238,9,11170660,624,서울,용산구,이태원2동,2020,8
173256,9,11170685,687,서울,용산구,한남동,2020,8
173294,9,11170690,657,서울,용산구,서빙고동,2020,8
173320,9,11170700,450,서울,용산구,보광동,2020,8
192066,10,11170510,474,서울,용산구,후암동,2020,8
192101,10,11170520,523,서울,용산구,용산2가동,2020,8
192125,10,11170530,788,서울,용산구,남영동,2020,8
192138,10,11170555,556,서울,용산구,청파동,2020,8
192178,10,11170560,682,서울,용산구,원효로1동,2020,8
192204,10,11170570,466,서울,용산구,원효로2동,2020,8
192235,10,11170580,552,서울,용산구,효창동,2020,8
192254,10,11170590,473,서울,용산구,용문동,2020,8
192277,10,11170625,1041,서울,용산구,한강로동,2020,8
192306,10,11170630,520,서울,용산구,이촌1동,2020,8
192360,10,11170640,395,서울,용산구,이촌2동,2020,8
192380,10,11170650,611,서울,용산구,이태원1동,2020,8
192391,10,11170660,572,서울,용산구,이태원2동,2020,8
192409,10,11170685,679,서울,용산구,한남동,2020,8
192447,10,11170690,526,서울,용산구,서빙고동,2020,8
192473,10,11170700,393,서울,용산구,보광동,2020,8
211219,11,11170510,448,서울,용산구,후암동,2020,8
211254,11,11170520,425,서울,용산구,용산2가동,2020,8
211278,11,11170530,759,서울,용산구,남영동,2020,8
211291,11,11170555,531,서울,용산구,청파동,2020,8
211331,11,11170560,615,서울,용산구,원효로1동,2020,8
211357,11,11170570,374,서울,용산구,원효로2동,2020,8
211388,11,11170580,492,서울,용산구,효창동,2020,8
211407,11,11170590,439,서울,용산구,용문동,2020,8
211430,11,11170625,968,서울,용산구,한강로동,2020,8
211459,11,11170630,443,서울,용산구,이촌1동,2020,8
211513,11,11170640,449,서울,용산구,이촌2동,2020,8
211533,11,11170650,684,서울,용산구,이태원1동,2020,8
211544,11,11170660,523,서울,용산구,이태원2동,2020,8
211562,11,11170685,658,서울,용산구,한남동,2020,8
211600,11,11170690,603,서울,용산구,서빙고동,2020,8
211626,11,11170700,363,서울,용산구,보광동,2020,8
230372,12,11170510,386,서울,용산구,후암동,2020,8
230407,12,11170520,686,서울,용산구,용산2가동,2020,8
230431,12,11170530,1262,서울,용산구,남영동,2020,8
230444,12,11170555,1341,서울,용산구,청파동,2020,8
230484,12,11170560,952,서울,용산구,원효로1동,2020,8
230510,12,11170570,645,서울,용산구,원효로2동,2020,8
230541,12,11170580,1114,서울,용산구,효창동,2020,8
230560,12,11170590,1244,서울,용산구,용문동,2020,8
230583,12,11170625,1416,서울,용산구,한강로동,2020,8
230612,12,11170630,690,서울,용산구,이촌1동,2020,8
