,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,436,서울,용산구,후암동,2020,10
575,0,11170520,487,서울,용산구,용산2가동,2020,10
599,0,11170530,639,서울,용산구,남영동,2020,10
612,0,11170555,523,서울,용산구,청파동,2020,10
652,0,11170560,678,서울,용산구,원효로1동,2020,10
678,0,11170570,436,서울,용산구,원효로2동,2020,10
709,0,11170580,492,서울,용산구,효창동,2020,10
728,0,11170590,472,서울,용산구,용문동,2020,10
751,0,11170625,955,서울,용산구,한강로동,2020,10
780,0,11170630,498,서울,용산구,이촌1동,2020,10
834,0,11170640,371,서울,용산구,이촌2동,2020,10
854,0,11170650,1058,서울,용산구,이태원1동,2020,10
865,0,11170660,715,서울,용산구,이태원2동,2020,10
883,0,11170685,719,서울,용산구,한남동,2020,10
921,0,11170690,588,서울,용산구,서빙고동,2020,10
947,0,11170700,401,서울,용산구,보광동,2020,10
19690,1,11170510,440,서울,용산구,후암동,2020,10
19725,1,11170520,476,서울,용산구,용산2가동,2020,10
19749,1,11170530,631,서울,용산구,남영동,2020,10
19762,1,11170555,522,서울,용산구,청파동,2020,10
19802,1,11170560,672,서울,용산구,원효로1동,2020,10
19828,1,11170570,435,서울,용산구,원효로2동,2020,10
19859,1,11170580,494,서울,용산구,효창동,2020,10
19878,1,11170590,478,서울,용산구,용문동,2020,10
19901,1,11170625,941,서울,용산구,한강로동,2020,10
19930,1,11170630,496,서울,용산구,이촌1동,2020,10
19984,1,11170640,365,서울,용산구,이촌2동,2020,10
20004,1,11170650,1036,서울,용산구,이태원1동,2020,10
20015,1,11170660,718,서울,용산구,이태원2동,2020,10
20033,1,11170685,705,서울,용산구,한남동,2020,10
20071,1,11170690,589,서울,용산구,서빙고동,2020,10
20097,1,11170700,402,서울,용산구,보광동,2020,10
38840,2,11170510,440,서울,용산구,후암동,2020,10
38875,2,11170520,473,서울,용산구,용산2가동,2020,10
38899,2,11170530,630,서울,용산구,남영동,2020,10
38912,2,11170555,523,서울,용산구,청파동,2020,10
38952,2,11170560,674,서울,용산구,원효로1동,2020,10
38978,2,11170570,437,서울,용산구,원효로2동,2020,10
39009,2,11170580,497,서울,용산구,효창동,2020,10
39028,2,11170590,477,서울,용산구,용문동,2020,10
39051,2,11170625,936,서울,용산구,한강로동,2020,10
39080,2,11170630,495,서울,용산구,이촌1동,2020,10
39134,2,11170640,363,서울,용산구,이촌2동,2020,10
39154,2,11170650,1004,서울,용산구,이태원1동,2020,10
39165,2,11170660,718,서울,용산구,이태원2동,2020,10
39183,2,11170685,697,서울,용산구,한남동,2020,10
39221,2,11170690,592,서울,용산구,서빙고동,2020,10
39247,2,11170700,402,서울,용산구,보광동,2020,10
57989,3,11170510,444,서울,용산구,후암동,2020,10
58024,3,11170520,472,서울,용산구,용산2가동,2020,10
58048,3,11170530,624,서울,용산구,남영동,2020,10
58061,3,11170555,522,서울,용산구,청파동,2020,10
58101,3,11170560,673,서울,용산구,원효로1동,2020,10
58127,3,11170570,434,서울,용산구,원효로2동,2020,10
58158,3,11170580,497,서울,용산구,효창동,2020,10
58177,3,11170590,478,서울,용산구,용문동,2020,10
58200,3,11170625,936,서울,용산구,한강로동,2020,10
58229,3,11170630,495,서울,용산구,이촌1동,2020,10
58283,3,11170640,359,서울,용산구,이촌2동,2020,10
58303,3,11170650,963,서울,용산구,이태원1동,2020,10
58314,3,11170660,713,서울,용산구,이태원2동,2020,10
58332,3,11170685,691,서울,용산구,한남동,2020,10
58370,3,11170690,589,서울,용산구,서빙고동,2020,10
58396,3,11170700,405,서울,용산구,보광동,2020,10
77138,4,11170510,444,서울,용산구,후암동,2020,10
77173,4,11170520,477,서울,용산구,용산2가동,2020,10
77197,4,11170530,641,서울,용산구,남영동,2020,10
77210,4,11170555,526,서울,용산구,청파동,2020,10
77250,4,11170560,675,서울,용산구,원효로1동,2020,10
77276,4,11170570,433,서울,용산구,원효로2동,2020,10
77307,4,11170580,501,서울,용산구,효창동,2020,10
77326,4,11170590,476,서울,용산구,용문동,2020,10
77349,4,11170625,947,서울,용산구,한강로동,2020,10
77378,4,11170630,495,서울,용산구,이촌1동,2020,10
77432,4,11170640,359,서울,용산구,이촌2동,2020,10
77452,4,11170650,917,서울,용산구,이태원1동,2020,10
77463,4,11170660,714,서울,용산구,이태원2동,2020,10
77481,4,11170685,687,서울,용산구,한남동,2020,10
77519,4,11170690,591,서울,용산구,서빙고동,2020,10
77545,4,11170700,406,서울,용산구,보광동,2020,10
96287,5,11170510,442,서울,용산구,후암동,2020,10
96322,5,11170520,478,서울,용산구,용산2가동,2020,10
96346,5,11170530,662,서울,용산구,남영동,2020,10
96359,5,11170555,527,서울,용산구,청파동,2020,10
96399,5,11170560,676,서울,용산구,원효로1동,2020,10
96425,5,11170570,434,서울,용산구,원효로2동,2020,10
96456,5,11170580,505,서울,용산구,효창동,2020,10
96475,5,11170590,468,서울,용산구,용문동,2020,10
96498,5,11170625,962,서울,용산구,한강로동,2020,10
96527,5,11170630,501,서울,용산구,이촌1동,2020,10
96581,5,11170640,372,서울,용산구,이촌2동,2020,10
96601,5,11170650,863,서울,용산구,이태원1동,2020,10
96612,5,11170660,710,서울,용산구,이태원2동,2020,10
96630,5,11170685,692,서울,용산구,한남동,2020,10
96668,5,11170690,600,서울,용산구,서빙고동,2020,10
96694,5,11170700,408,서울,용산구,보광동,2020,10
115437,6,11170510,437,서울,용산구,후암동,2020,10
115472,6,11170520,479,서울,용산구,용산2가동,2020,10
115496,6,11170530,700,서울,용산구,남영동,2020,10
115509,6,11170555,531,서울,용산구,청파동,2020,10
115549,6,11170560,691,서울,용산구,원효로1동,2020,10
115575,6,11170570,436,서울,용산구,원효로2동,2020,10
115606,6,11170580,512,서울,용산구,효창동,2020,10
115625,6,11170590,456,서울,용산구,용문동,2020,10
115648,6,11170625,1001,서울,용산구,한강로동,2020,10
115677,6,11170630,508,서울,용산구,이촌1동,2020,10
115731,6,11170640,385,서울,용산구,이촌2동,2020,10
115751,6,11170650,836,서울,용산구,이태원1동,2020,10
115762,6,11170660,707,서울,용산구,이태원2동,2020,10
115780,6,11170685,711,서울,용산구,한남동,2020,10
115818,6,11170690,620,서울,용산구,서빙고동,2020,10
115844,6,11170700,401,서울,용산구,보광동,2020,10
134587,7,11170510,424,서울,용산구,후암동,2020,10
134622,7,11170520,482,서울,용산구,용산2가동,2020,10
134646,7,11170530,749,서울,용산구,남영동,2020,10
134659,7,11170555,534,서울,용산구,청파동,2020,10
134699,7,11170560,693,서울,용산구,원효로1동,2020,10
134725,7,11170570,434,서울,용산구,원효로2동,2020,10
134756,7,11170580,529,서울,용산구,효창동,2020,10
134775,7,11170590,441,서울,용산구,용문동,2020,10
134798,7,11170625,1040,서울,용산구,한강로동,2020,10
134827,7,11170630,515,서울,용산구,이촌1동,2020,10
134881,7,11170640,385,서울,용산구,이촌2동,2020,10
134901,7,11170650,821,서울,용산구,이태원1동,2020,10
134912,7,11170660,705,서울,용산구,이태원2동,2020,10
134930,7,11170685,732,서울,용산구,한남동,2020,10
134968,7,11170690,648,서울,용산구,서빙고동,2020,10
134994,7,11170700,395,서울,용산구,보광동,2020,10
153737,8,11170510,412,서울,용산구,후암동,2020,10
153772,8,11170520,477,서울,용산구,용산2가동,2020,10
153796,8,11170530,814,서울,용산구,남영동,2020,10
153809,8,11170555,538,서울,용산구,청파동,2020,10
153849,8,11170560,697,서울,용산구,원효로1동,2020,10
153875,8,11170570,421,서울,용산구,원효로2동,2020,10
153906,8,11170580,553,서울,용산구,효창동,2020,10
