,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,452,서울,용산구,후암동,2018,12
575,0,11170520,474,서울,용산구,용산2가동,2018,12
599,0,11170530,797,서울,용산구,남영동,2018,12
612,0,11170555,604,서울,용산구,청파동,2018,12
652,0,11170560,603,서울,용산구,원효로1동,2018,12
678,0,11170570,463,서울,용산구,원효로2동,2018,12
709,0,11170580,471,서울,용산구,효창동,2018,12
728,0,11170590,563,서울,용산구,용문동,2018,12
751,0,11170625,993,서울,용산구,한강로동,2018,12
780,0,11170630,523,서울,용산구,이촌1동,2018,12
834,0,11170640,385,서울,용산구,이촌2동,2018,12
854,0,11170650,1686,서울,용산구,이태원1동,2018,12
865,0,11170660,710,서울,용산구,이태원2동,2018,12
883,0,11170685,807,서울,용산구,한남동,2018,12
921,0,11170690,587,서울,용산구,서빙고동,2018,12
947,0,11170700,436,서울,용산구,보광동,2018,12
19688,1,11170510,453,서울,용산구,후암동,2018,12
19723,1,11170520,472,서울,용산구,용산2가동,2018,12
19747,1,11170530,767,서울,용산구,남영동,2018,12
19760,1,11170555,605,서울,용산구,청파동,2018,12
19800,1,11170560,601,서울,용산구,원효로1동,2018,12
19826,1,11170570,462,서울,용산구,원효로2동,2018,12
19857,1,11170580,478,서울,용산구,효창동,2018,12
19876,1,11170590,564,서울,용산구,용문동,2018,12
19899,1,11170625,960,서울,용산구,한강로동,2018,12
19928,1,11170630,519,서울,용산구,이촌1동,2018,12
19982,1,11170640,379,서울,용산구,이촌2동,2018,12
20002,1,11170650,1624,서울,용산구,이태원1동,2018,12
20013,1,11170660,711,서울,용산구,이태원2동,2018,12
20031,1,11170685,796,서울,용산구,한남동,2018,12
20069,1,11170690,589,서울,용산구,서빙고동,2018,12
20095,1,11170700,438,서울,용산구,보광동,2018,12
38840,2,11170510,456,서울,용산구,후암동,2018,12
38875,2,11170520,469,서울,용산구,용산2가동,2018,12
38899,2,11170530,755,서울,용산구,남영동,2018,12
38912,2,11170555,606,서울,용산구,청파동,2018,12
38952,2,11170560,598,서울,용산구,원효로1동,2018,12
38978,2,11170570,464,서울,용산구,원효로2동,2018,12
39009,2,11170580,480,서울,용산구,효창동,2018,12
39028,2,11170590,565,서울,용산구,용문동,2018,12
39051,2,11170625,950,서울,용산구,한강로동,2018,12
39080,2,11170630,519,서울,용산구,이촌1동,2018,12
39134,2,11170640,375,서울,용산구,이촌2동,2018,12
39154,2,11170650,1532,서울,용산구,이태원1동,2018,12
39165,2,11170660,706,서울,용산구,이태원2동,2018,12
39183,2,11170685,787,서울,용산구,한남동,2018,12
39221,2,11170690,586,서울,용산구,서빙고동,2018,12
39247,2,11170700,442,서울,용산구,보광동,2018,12
57991,3,11170510,458,서울,용산구,후암동,2018,12
58026,3,11170520,471,서울,용산구,용산2가동,2018,12
58050,3,11170530,748,서울,용산구,남영동,2018,12
58063,3,11170555,606,서울,용산구,청파동,2018,12
58103,3,11170560,601,서울,용산구,원효로1동,2018,12
58129,3,11170570,467,서울,용산구,원효로2동,2018,12
58160,3,11170580,484,서울,용산구,효창동,2018,12
58179,3,11170590,569,서울,용산구,용문동,2018,12
58202,3,11170625,950,서울,용산구,한강로동,2018,12
58231,3,11170630,519,서울,용산구,이촌1동,2018,12
