,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,430,서울,용산구,후암동,2017,12
575,0,11170520,497,서울,용산구,용산2가동,2017,12
599,0,11170530,975,서울,용산구,남영동,2017,12
612,0,11170555,583,서울,용산구,청파동,2017,12
652,0,11170560,724,서울,용산구,원효로1동,2017,12
678,0,11170570,481,서울,용산구,원효로2동,2017,12
709,0,11170580,511,서울,용산구,효창동,2017,12
728,0,11170590,567,서울,용산구,용문동,2017,12
751,0,11170625,939,서울,용산구,한강로동,2017,12
780,0,11170630,505,서울,용산구,이촌1동,2017,12
834,0,11170640,478,서울,용산구,이촌2동,2017,12
854,0,11170650,1821,서울,용산구,이태원1동,2017,12
865,0,11170660,722,서울,용산구,이태원2동,2017,12
883,0,11170685,710,서울,용산구,한남동,2017,12
921,0,11170690,597,서울,용산구,서빙고동,2017,12
947,0,11170700,474,서울,용산구,보광동,2017,12
19690,1,11170510,438,서울,용산구,후암동,2017,12
19725,1,11170520,488,서울,용산구,용산2가동,2017,12
19749,1,11170530,923,서울,용산구,남영동,2017,12
19762,1,11170555,586,서울,용산구,청파동,2017,12
19802,1,11170560,720,서울,용산구,원효로1동,2017,12
19828,1,11170570,484,서울,용산구,원효로2동,2017,12
19859,1,11170580,509,서울,용산구,효창동,2017,12
19878,1,11170590,576,서울,용산구,용문동,2017,12
19901,1,11170625,917,서울,용산구,한강로동,2017,12
19930,1,11170630,504,서울,용산구,이촌1동,2017,12
19984,1,11170640,480,서울,용산구,이촌2동,2017,12
20004,1,11170650,1742,서울,용산구,이태원1동,2017,12
20015,1,11170660,706,서울,용산구,이태원2동,2017,12
20033,1,11170685,706,서울,용산구,한남동,2017,12
20071,1,11170690,595,서울,용산구,서빙고동,2017,12
20097,1,11170700,471,서울,용산구,보광동,2017,12
38841,2,11170510,441,서울,용산구,후암동,2017,12
38876,2,11170520,486,서울,용산구,용산2가동,2017,12
38900,2,11170530,916,서울,용산구,남영동,2017,12
38913,2,11170555,588,서울,용산구,청파동,2017,12
38953,2,11170560,719,서울,용산구,원효로1동,2017,12
38979,2,11170570,482,서울,용산구,원효로2동,2017,12
39010,2,11170580,513,서울,용산구,효창동,2017,12
39029,2,11170590,580,서울,용산구,용문동,2017,12
39052,2,11170625,907,서울,용산구,한강로동,2017,12
39081,2,11170630,501,서울,용산구,이촌1동,2017,12
39135,2,11170640,478,서울,용산구,이촌2동,2017,12
39155,2,11170650,1645,서울,용산구,이태원1동,2017,12
39166,2,11170660,706,서울,용산구,이태원2동,2017,12
39184,2,11170685,699,서울,용산구,한남동,2017,12
39222,2,11170690,599,서울,용산구,서빙고동,2017,12
39248,2,11170700,473,서울,용산구,보광동,2017,12
57992,3,11170510,446,서울,용산구,후암동,2017,12
58027,3,11170520,487,서울,용산구,용산2가동,2017,12
58051,3,11170530,912,서울,용산구,남영동,2017,12
58064,3,11170555,589,서울,용산구,청파동,2017,12
58104,3,11170560,719,서울,용산구,원효로1동,2017,12
58130,3,11170570,482,서울,용산구,원효로2동,2017,12
58161,3,11170580,513,서울,용산구,효창동,2017,12
58180,3,11170590,583,서울,용산구,용문동,2017,12
58203,3,11170625,900,서울,용산구,한강로동,2017,12
58232,3,11170630,501,서울,용산구,이촌1동,2017,12
58286,3,11170640,478,서울,용산구,이촌2동,2017,12
58306,3,11170650,1496,서울,용산구,이태원1동,2017,12
58317,3,11170660,706,서울,용산구,이태원2동,2017,12
