,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,477,서울,용산구,후암동,2017,1
575,0,11170520,472,서울,용산구,용산2가동,2017,1
599,0,11170530,986,서울,용산구,남영동,2017,1
612,0,11170555,638,서울,용산구,청파동,2017,1
652,0,11170560,516,서울,용산구,원효로1동,2017,1
678,0,11170570,494,서울,용산구,원효로2동,2017,1
709,0,11170580,522,서울,용산구,효창동,2017,1
728,0,11170590,558,서울,용산구,용문동,2017,1
751,0,11170625,918,서울,용산구,한강로동,2017,1
780,0,11170630,507,서울,용산구,이촌1동,2017,1
834,0,11170640,546,서울,용산구,이촌2동,2017,1
854,0,11170650,1930,서울,용산구,이태원1동,2017,1
865,0,11170660,694,서울,용산구,이태원2동,2017,1
883,0,11170685,687,서울,용산구,한남동,2017,1
921,0,11170690,622,서울,용산구,서빙고동,2017,1
947,0,11170700,430,서울,용산구,보광동,2017,1
19685,1,11170510,479,서울,용산구,후암동,2017,1
19720,1,11170520,457,서울,용산구,용산2가동,2017,1
19744,1,11170530,859,서울,용산구,남영동,2017,1
19757,1,11170555,599,서울,용산구,청파동,2017,1
19797,1,11170560,523,서울,용산구,원효로1동,2017,1
19823,1,11170570,500,서울,용산구,원효로2동,2017,1
19854,1,11170580,531,서울,용산구,효창동,2017,1
19873,1,11170590,567,서울,용산구,용문동,2017,1
19896,1,11170625,895,서울,용산구,한강로동,2017,1
19925,1,11170630,493,서울,용산구,이촌1동,2017,1
19979,1,11170640,540,서울,용산구,이촌2동,2017,1
19999,1,11170650,1876,서울,용산구,이태원1동,2017,1
20010,1,11170660,685,서울,용산구,이태원2동,2017,1
20028,1,11170685,669,서울,용산구,한남동,2017,1
20066,1,11170690,624,서울,용산구,서빙고동,2017,1
20092,1,11170700,433,서울,용산구,보광동,2017,1
38829,2,11170510,481,서울,용산구,후암동,2017,1
38864,2,11170520,455,서울,용산구,용산2가동,2017,1
38888,2,11170530,818,서울,용산구,남영동,2017,1
38901,2,11170555,598,서울,용산구,청파동,2017,1
38941,2,11170560,521,서울,용산구,원효로1동,2017,1
38967,2,11170570,497,서울,용산구,원효로2동,2017,1
38998,2,11170580,530,서울,용산구,효창동,2017,1
39017,2,11170590,574,서울,용산구,용문동,2017,1
39040,2,11170625,888,서울,용산구,한강로동,2017,1
39069,2,11170630,488,서울,용산구,이촌1동,2017,1
39123,2,11170640,531,서울,용산구,이촌2동,2017,1
39143,2,11170650,1780,서울,용산구,이태원1동,2017,1
39154,2,11170660,671,서울,용산구,이태원2동,2017,1
39172,2,11170685,654,서울,용산구,한남동,2017,1
39210,2,11170690,620,서울,용산구,서빙고동,2017,1
39236,2,11170700,432,서울,용산구,보광동,2017,1
57973,3,11170510,482,서울,용산구,후암동,2017,1
58008,3,11170520,453,서울,용산구,용산2가동,2017,1
58032,3,11170530,811,서울,용산구,남영동,2017,1
58045,3,11170555,597,서울,용산구,청파동,2017,1
58085,3,11170560,522,서울,용산구,원효로1동,2017,1
58111,3,11170570,496,서울,용산구,원효로2동,2017,1
58142,3,11170580,530,서울,용산구,효창동,2017,1
58155,3,11170590,574,서울,용산구,용문동,2017,1
58160,3,11170625,887,서울,용산구,한강로동,2017,1
58189,3,11170630,487,서울,용산구,이촌1동,2017,1
58243,3,11170640,529,서울,용산구,이촌2동,2017,1
58263,3,11170650,1641,서울,용산구,이태원1동,2017,1
58274,3,11170660,674,서울,용산구,이태원2동,2017,1
58292,3,11170685,645,서울,용산구,한남동,2017,1
58330,3,11170690,619,서울,용산구,서빙고동,2017,1
58356,3,11170700,431,서울,용산구,보광동,2017,1
77113,4,11170510,482,서울,용산구,후암동,2017,1
77148,4,11170520,464,서울,용산구,용산2가동,2017,1
77172,4,11170530,840,서울,용산구,남영동,2017,1
77185,4,11170555,601,서울,용산구,청파동,2017,1
77225,4,11170560,522,서울,용산구,원효로1동,2017,1
77251,4,11170570,500,서울,용산구,원효로2동,2017,1
77282,4,11170580,533,서울,용산구,효창동,2017,1
77301,4,11170590,570,서울,용산구,용문동,2017,1
77324,4,11170625,891,서울,용산구,한강로동,2017,1
77353,4,11170630,488,서울,용산구,이촌1동,2017,1
77407,4,11170640,524,서울,용산구,이촌2동,2017,1
77427,4,11170650,1475,서울,용산구,이태원1동,2017,1
77438,4,11170660,672,서울,용산구,이태원2동,2017,1
77456,4,11170685,642,서울,용산구,한남동,2017,1
77494,4,11170690,622,서울,용산구,서빙고동,2017,1
77520,4,11170700,435,서울,용산구,보광동,2017,1
96257,5,11170510,482,서울,용산구,후암동,2017,1
96292,5,11170520,470,서울,용산구,용산2가동,2017,1
96316,5,11170530,907,서울,용산구,남영동,2017,1
96329,5,11170555,603,서울,용산구,청파동,2017,1
96369,5,11170560,520,서울,용산구,원효로1동,2017,1
96395,5,11170570,497,서울,용산구,원효로2동,2017,1
96426,5,11170580,543,서울,용산구,효창동,2017,1
