,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,474,서울,용산구,후암동,2017,3
575,0,11170520,466,서울,용산구,용산2가동,2017,3
599,0,11170530,1048,서울,용산구,남영동,2017,3
612,0,11170555,616,서울,용산구,청파동,2017,3
652,0,11170560,611,서울,용산구,원효로1동,2017,3
678,0,11170570,519,서울,용산구,원효로2동,2017,3
709,0,11170580,520,서울,용산구,효창동,2017,3
728,0,11170590,548,서울,용산구,용문동,2017,3
751,0,11170625,959,서울,용산구,한강로동,2017,3
780,0,11170630,497,서울,용산구,이촌1동,2017,3
834,0,11170640,525,서울,용산구,이촌2동,2017,3
854,0,11170650,1534,서울,용산구,이태원1동,2017,3
865,0,11170660,655,서울,용산구,이태원2동,2017,3
883,0,11170685,693,서울,용산구,한남동,2017,3
921,0,11170690,593,서울,용산구,서빙고동,2017,3
947,0,11170700,358,서울,용산구,보광동,2017,3
19693,1,11170510,476,서울,용산구,후암동,2017,3
19728,1,11170520,455,서울,용산구,용산2가동,2017,3
19752,1,11170530,988,서울,용산구,남영동,2017,3
19765,1,11170555,615,서울,용산구,청파동,2017,3
19805,1,11170560,604,서울,용산구,원효로1동,2017,3
19831,1,11170570,512,서울,용산구,원효로2동,2017,3
19862,1,11170580,524,서울,용산구,효창동,2017,3
19881,1,11170590,568,서울,용산구,용문동,2017,3
19904,1,11170625,929,서울,용산구,한강로동,2017,3
19933,1,11170630,497,서울,용산구,이촌1동,2017,3
19987,1,11170640,527,서울,용산구,이촌2동,2017,3
20007,1,11170650,1465,서울,용산구,이태원1동,2017,3
20018,1,11170660,671,서울,용산구,이태원2동,2017,3
20036,1,11170685,682,서울,용산구,한남동,2017,3
20074,1,11170690,588,서울,용산구,서빙고동,2017,3
20100,1,11170700,369,서울,용산구,보광동,2017,3
38846,2,11170510,498,서울,용산구,후암동,2017,3
38881,2,11170520,405,서울,용산구,용산2가동,2017,3
38905,2,11170530,970,서울,용산구,남영동,2017,3
38918,2,11170555,621,서울,용산구,청파동,2017,3
38958,2,11170560,609,서울,용산구,원효로1동,2017,3
38984,2,11170570,507,서울,용산구,원효로2동,2017,3
39015,2,11170580,528,서울,용산구,효창동,2017,3
39034,2,11170590,573,서울,용산구,용문동,2017,3
39057,2,11170625,918,서울,용산구,한강로동,2017,3
39086,2,11170630,493,서울,용산구,이촌1동,2017,3
39140,2,11170640,521,서울,용산구,이촌2동,2017,3
39160,2,11170650,1397,서울,용산구,이태원1동,2017,3
39171,2,11170660,672,서울,용산구,이태원2동,2017,3
39189,2,11170685,670,서울,용산구,한남동,2017,3
39227,2,11170690,595,서울,용산구,서빙고동,2017,3
39253,2,11170700,375,서울,용산구,보광동,2017,3
57999,3,11170510,500,서울,용산구,후암동,2017,3
58034,3,11170520,408,서울,용산구,용산2가동,2017,3
58058,3,11170530,965,서울,용산구,남영동,2017,3
58071,3,11170555,621,서울,용산구,청파동,2017,3
58111,3,11170560,613,서울,용산구,원효로1동,2017,3
58137,3,11170570,506,서울,용산구,원효로2동,2017,3
58168,3,11170580,529,서울,용산구,효창동,2017,3
58187,3,11170590,573,서울,용산구,용문동,2017,3
58210,3,11170625,912,서울,용산구,한강로동,2017,3
58239,3,11170630,492,서울,용산구,이촌1동,2017,3
58293,3,11170640,522,서울,용산구,이촌2동,2017,3
58313,3,11170650,1299,서울,용산구,이태원1동,2017,3
