,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,428,서울,용산구,후암동,2017,10
575,0,11170520,479,서울,용산구,용산2가동,2017,10
599,0,11170530,1111,서울,용산구,남영동,2017,10
612,0,11170555,622,서울,용산구,청파동,2017,10
652,0,11170560,663,서울,용산구,원효로1동,2017,10
678,0,11170570,507,서울,용산구,원효로2동,2017,10
709,0,11170580,498,서울,용산구,효창동,2017,10
728,0,11170590,538,서울,용산구,용문동,2017,10
751,0,11170625,1128,서울,용산구,한강로동,2017,10
780,0,11170630,538,서울,용산구,이촌1동,2017,10
834,0,11170640,654,서울,용산구,이촌2동,2017,10
854,0,11170650,1649,서울,용산구,이태원1동,2017,10
865,0,11170660,709,서울,용산구,이태원2동,2017,10
883,0,11170685,702,서울,용산구,한남동,2017,10
921,0,11170690,616,서울,용산구,서빙고동,2017,10
947,0,11170700,450,서울,용산구,보광동,2017,10
19693,1,11170510,434,서울,용산구,후암동,2017,10
19728,1,11170520,466,서울,용산구,용산2가동,2017,10
19752,1,11170530,1066,서울,용산구,남영동,2017,10
19765,1,11170555,625,서울,용산구,청파동,2017,10
19805,1,11170560,666,서울,용산구,원효로1동,2017,10
19831,1,11170570,506,서울,용산구,원효로2동,2017,10
19862,1,11170580,493,서울,용산구,효창동,2017,10
19881,1,11170590,543,서울,용산구,용문동,2017,10
19904,1,11170625,1106,서울,용산구,한강로동,2017,10
19933,1,11170630,536,서울,용산구,이촌1동,2017,10
19987,1,11170640,652,서울,용산구,이촌2동,2017,10
20007,1,11170650,1616,서울,용산구,이태원1동,2017,10
20018,1,11170660,707,서울,용산구,이태원2동,2017,10
20036,1,11170685,705,서울,용산구,한남동,2017,10
20074,1,11170690,618,서울,용산구,서빙고동,2017,10
20100,1,11170700,450,서울,용산구,보광동,2017,10
38846,2,11170510,440,서울,용산구,후암동,2017,10
38881,2,11170520,465,서울,용산구,용산2가동,2017,10
38905,2,11170530,1048,서울,용산구,남영동,2017,10
38918,2,11170555,629,서울,용산구,청파동,2017,10
38958,2,11170560,666,서울,용산구,원효로1동,2017,10
38984,2,11170570,505,서울,용산구,원효로2동,2017,10
39015,2,11170580,492,서울,용산구,효창동,2017,10
39034,2,11170590,547,서울,용산구,용문동,2017,10
39057,2,11170625,1093,서울,용산구,한강로동,2017,10
39086,2,11170630,534,서울,용산구,이촌1동,2017,10
39140,2,11170640,646,서울,용산구,이촌2동,2017,10
39160,2,11170650,1541,서울,용산구,이태원1동,2017,10
39171,2,11170660,705,서울,용산구,이태원2동,2017,10
39189,2,11170685,694,서울,용산구,한남동,2017,10
39227,2,11170690,616,서울,용산구,서빙고동,2017,10
39253,2,11170700,453,서울,용산구,보광동,2017,10
57999,3,11170510,441,서울,용산구,후암동,2017,10
58034,3,11170520,464,서울,용산구,용산2가동,2017,10
58058,3,11170530,1048,서울,용산구,남영동,2017,10
58071,3,11170555,628,서울,용산구,청파동,2017,10
58111,3,11170560,667,서울,용산구,원효로1동,2017,10
58137,3,11170570,504,서울,용산구,원효로2동,2017,10
58168,3,11170580,493,서울,용산구,효창동,2017,10
58187,3,11170590,553,서울,용산구,용문동,2017,10
58210,3,11170625,1086,서울,용산구,한강로동,2017,10
58239,3,11170630,535,서울,용산구,이촌1동,2017,10
58293,3,11170640,647,서울,용산구,이촌2동,2017,10
58313,3,11170650,1469,서울,용산구,이태원1동,2017,10
58324,3,11170660,705,서울,용산구,이태원2동,2017,10
58342,3,11170685,689,서울,용산구,한남동,2017,10
58380,3,11170690,613,서울,용산구,서빙고동,2017,10
58406,3,11170700,451,서울,용산구,보광동,2017,10
77152,4,11170510,443,서울,용산구,후암동,2017,10
77187,4,11170520,472,서울,용산구,용산2가동,2017,10
77211,4,11170530,1065,서울,용산구,남영동,2017,10
77224,4,11170555,635,서울,용산구,청파동,2017,10
77264,4,11170560,666,서울,용산구,원효로1동,2017,10
77290,4,11170570,507,서울,용산구,원효로2동,2017,10
77321,4,11170580,487,서울,용산구,효창동,2017,10
77340,4,11170590,551,서울,용산구,용문동,2017,10
77363,4,11170625,1096,서울,용산구,한강로동,2017,10
77392,4,11170630,536,서울,용산구,이촌1동,2017,10
77446,4,11170640,643,서울,용산구,이촌2동,2017,10
77466,4,11170650,1358,서울,용산구,이태원1동,2017,10
77477,4,11170660,701,서울,용산구,이태원2동,2017,10
77495,4,11170685,684,서울,용산구,한남동,2017,10
77533,4,11170690,611,서울,용산구,서빙고동,2017,10
77559,4,11170700,453,서울,용산구,보광동,2017,10
96305,5,11170510,439,서울,용산구,후암동,2017,10
96340,5,11170520,479,서울,용산구,용산2가동,2017,10
96364,5,11170530,1135,서울,용산구,남영동,2017,10
96377,5,11170555,638,서울,용산구,청파동,2017,10
96417,5,11170560,661,서울,용산구,원효로1동,2017,10
96443,5,11170570,503,서울,용산구,원효로2동,2017,10
96474,5,11170580,495,서울,용산구,효창동,2017,10
96493,5,11170590,544,서울,용산구,용문동,2017,10
96516,5,11170625,1118,서울,용산구,한강로동,2017,10
96545,5,11170630,554,서울,용산구,이촌1동,2017,10
96599,5,11170640,655,서울,용산구,이촌2동,2017,10
96619,5,11170650,1258,서울,용산구,이태원1동,2017,10
96630,5,11170660,699,서울,용산구,이태원2동,2017,10
96648,5,11170685,686,서울,용산구,한남동,2017,10
96686,5,11170690,639,서울,용산구,서빙고동,2017,10
96712,5,11170700,449,서울,용산구,보광동,2017,10
115458,6,11170510,434,서울,용산구,후암동,2017,10
115493,6,11170520,470,서울,용산구,용산2가동,2017,10
115517,6,11170530,1233,서울,용산구,남영동,2017,10
115530,6,11170555,645,서울,용산구,청파동,2017,10
115570,6,11170560,663,서울,용산구,원효로1동,2017,10
115596,6,11170570,496,서울,용산구,원효로2동,2017,10
115627,6,11170580,506,서울,용산구,효창동,2017,10
115646,6,11170590,528,서울,용산구,용문동,2017,10
115669,6,11170625,1232,서울,용산구,한강로동,2017,10
115698,6,11170630,569,서울,용산구,이촌1동,2017,10
115752,6,11170640,675,서울,용산구,이촌2동,2017,10
115772,6,11170650,1197,서울,용산구,이태원1동,2017,10
115783,6,11170660,701,서울,용산구,이태원2동,2017,10
115801,6,11170685,714,서울,용산구,한남동,2017,10
115839,6,11170690,687,서울,용산구,서빙고동,2017,10
115865,6,11170700,440,서울,용산구,보광동,2017,10
134611,7,11170510,419,서울,용산구,후암동,2017,10
134646,7,11170520,495,서울,용산구,용산2가동,2017,10
134670,7,11170530,1539,서울,용산구,남영동,2017,10
134683,7,11170555,678,서울,용산구,청파동,2017,10
134723,7,11170560,676,서울,용산구,원효로1동,2017,10
134749,7,11170570,484,서울,용산구,원효로2동,2017,10
