,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,437,서울,용산구,후암동,2017,8
575,0,11170520,464,서울,용산구,용산2가동,2017,8
599,0,11170530,990,서울,용산구,남영동,2017,8
612,0,11170555,613,서울,용산구,청파동,2017,8
652,0,11170560,621,서울,용산구,원효로1동,2017,8
678,0,11170570,496,서울,용산구,원효로2동,2017,8
709,0,11170580,497,서울,용산구,효창동,2017,8
728,0,11170590,566,서울,용산구,용문동,2017,8
751,0,11170625,925,서울,용산구,한강로동,2017,8
780,0,11170630,504,서울,용산구,이촌1동,2017,8
834,0,11170640,449,서울,용산구,이촌2동,2017,8
854,0,11170650,1119,서울,용산구,이태원1동,2017,8
865,0,11170660,643,서울,용산구,이태원2동,2017,8
883,0,11170685,646,서울,용산구,한남동,2017,8
921,0,11170690,569,서울,용산구,서빙고동,2017,8
947,0,11170700,417,서울,용산구,보광동,2017,8
19691,1,11170510,442,서울,용산구,후암동,2017,8
19726,1,11170520,457,서울,용산구,용산2가동,2017,8
19750,1,11170530,954,서울,용산구,남영동,2017,8
19763,1,11170555,614,서울,용산구,청파동,2017,8
19803,1,11170560,631,서울,용산구,원효로1동,2017,8
19829,1,11170570,497,서울,용산구,원효로2동,2017,8
19860,1,11170580,500,서울,용산구,효창동,2017,8
19879,1,11170590,584,서울,용산구,용문동,2017,8
19902,1,11170625,910,서울,용산구,한강로동,2017,8
19931,1,11170630,498,서울,용산구,이촌1동,2017,8
19985,1,11170640,441,서울,용산구,이촌2동,2017,8
20005,1,11170650,1072,서울,용산구,이태원1동,2017,8
20016,1,11170660,635,서울,용산구,이태원2동,2017,8
20034,1,11170685,642,서울,용산구,한남동,2017,8
20072,1,11170690,565,서울,용산구,서빙고동,2017,8
20098,1,11170700,418,서울,용산구,보광동,2017,8
38843,2,11170510,442,서울,용산구,후암동,2017,8
38878,2,11170520,455,서울,용산구,용산2가동,2017,8
38902,2,11170530,951,서울,용산구,남영동,2017,8
38915,2,11170555,614,서울,용산구,청파동,2017,8
38955,2,11170560,616,서울,용산구,원효로1동,2017,8
38981,2,11170570,497,서울,용산구,원효로2동,2017,8
39012,2,11170580,499,서울,용산구,효창동,2017,8
39031,2,11170590,583,서울,용산구,용문동,2017,8
39054,2,11170625,904,서울,용산구,한강로동,2017,8
39083,2,11170630,496,서울,용산구,이촌1동,2017,8
39137,2,11170640,438,서울,용산구,이촌2동,2017,8
39157,2,11170650,1035,서울,용산구,이태원1동,2017,8
39168,2,11170660,635,서울,용산구,이태원2동,2017,8
39186,2,11170685,636,서울,용산구,한남동,2017,8
39224,2,11170690,563,서울,용산구,서빙고동,2017,8
39250,2,11170700,416,서울,용산구,보광동,2017,8
57996,3,11170510,447,서울,용산구,후암동,2017,8
58031,3,11170520,452,서울,용산구,용산2가동,2017,8
58055,3,11170530,940,서울,용산구,남영동,2017,8
58068,3,11170555,612,서울,용산구,청파동,2017,8
58108,3,11170560,631,서울,용산구,원효로1동,2017,8
58134,3,11170570,499,서울,용산구,원효로2동,2017,8
58165,3,11170580,497,서울,용산구,효창동,2017,8
58184,3,11170590,598,서울,용산구,용문동,2017,8
58207,3,11170625,903,서울,용산구,한강로동,2017,8
58236,3,11170630,494,서울,용산구,이촌1동,2017,8
58290,3,11170640,438,서울,용산구,이촌2동,2017,8
58310,3,11170650,1012,서울,용산구,이태원1동,2017,8
58321,3,11170660,627,서울,용산구,이태원2동,2017,8
58339,3,11170685,637,서울,용산구,한남동,2017,8
58377,3,11170690,566,서울,용산구,서빙고동,2017,8
58403,3,11170700,419,서울,용산구,보광동,2017,8
77149,4,11170510,448,서울,용산구,후암동,2017,8
77184,4,11170520,450,서울,용산구,용산2가동,2017,8
77208,4,11170530,954,서울,용산구,남영동,2017,8
77221,4,11170555,613,서울,용산구,청파동,2017,8
77261,4,11170560,629,서울,용산구,원효로1동,2017,8
77287,4,11170570,503,서울,용산구,원효로2동,2017,8
77318,4,11170580,493,서울,용산구,효창동,2017,8
77337,4,11170590,609,서울,용산구,용문동,2017,8
77360,4,11170625,921,서울,용산구,한강로동,2017,8
77389,4,11170630,496,서울,용산구,이촌1동,2017,8
77443,4,11170640,438,서울,용산구,이촌2동,2017,8
77463,4,11170650,1013,서울,용산구,이태원1동,2017,8
77474,4,11170660,623,서울,용산구,이태원2동,2017,8
77492,4,11170685,644,서울,용산구,한남동,2017,8
77530,4,11170690,574,서울,용산구,서빙고동,2017,8
77556,4,11170700,418,서울,용산구,보광동,2017,8
96302,5,11170510,446,서울,용산구,후암동,2017,8
96337,5,11170520,455,서울,용산구,용산2가동,2017,8
96361,5,11170530,1023,서울,용산구,남영동,2017,8
96374,5,11170555,616,서울,용산구,청파동,2017,8
96414,5,11170560,612,서울,용산구,원효로1동,2017,8
96440,5,11170570,495,서울,용산구,원효로2동,2017,8
96471,5,11170580,500,서울,용산구,효창동,2017,8
96490,5,11170590,601,서울,용산구,용문동,2017,8
96513,5,11170625,974,서울,용산구,한강로동,2017,8
96542,5,11170630,516,서울,용산구,이촌1동,2017,8
96596,5,11170640,454,서울,용산구,이촌2동,2017,8
96616,5,11170650,999,서울,용산구,이태원1동,2017,8
96627,5,11170660,630,서울,용산구,이태원2동,2017,8
96645,5,11170685,663,서울,용산구,한남동,2017,8
96683,5,11170690,602,서울,용산구,서빙고동,2017,8
96709,5,11170700,414,서울,용산구,보광동,2017,8
115454,6,11170510,436,서울,용산구,후암동,2017,8
115489,6,11170520,456,서울,용산구,용산2가동,2017,8
115513,6,11170530,1168,서울,용산구,남영동,2017,8
115526,6,11170555,621,서울,용산구,청파동,2017,8
115566,6,11170560,624,서울,용산구,원효로1동,2017,8
115592,6,11170570,492,서울,용산구,원효로2동,2017,8
115623,6,11170580,513,서울,용산구,효창동,2017,8
115642,6,11170590,575,서울,용산구,용문동,2017,8
115665,6,11170625,1157,서울,용산구,한강로동,2017,8
115694,6,11170630,548,서울,용산구,이촌1동,2017,8
115748,6,11170640,490,서울,용산구,이촌2동,2017,8
115768,6,11170650,1026,서울,용산구,이태원1동,2017,8
115779,6,11170660,634,서울,용산구,이태원2동,2017,8
115797,6,11170685,714,서울,용산구,한남동,2017,8
115835,6,11170690,668,서울,용산구,서빙고동,2017,8
115861,6,11170700,405,서울,용산구,보광동,2017,8
134606,7,11170510,413,서울,용산구,후암동,2017,8
134641,7,11170520,502,서울,용산구,용산2가동,2017,8
134665,7,11170530,1736,서울,용산구,남영동,2017,8
134678,7,11170555,643,서울,용산구,청파동,2017,8
134718,7,11170560,618,서울,용산구,원효로1동,2017,8
134744,7,11170570,482,서울,용산구,원효로2동,2017,8
134775,7,11170580,520,서울,용산구,효창동,2017,8
134794,7,11170590,493,서울,용산구,용문동,2017,8
134817,7,11170625,1566,서울,용산구,한강로동,2017,8
134846,7,11170630,571,서울,용산구,이촌1동,2017,8
134900,7,11170640,501,서울,용산구,이촌2동,2017,8
134920,7,11170650,1076,서울,용산구,이태원1동,2017,8
134931,7,11170660,612,서울,용산구,이태원2동,2017,8
134949,7,11170685,799,서울,용산구,한남동,2017,8
134987,7,11170690,766,서울,용산구,서빙고동,2017,8
135013,7,11170700,378,서울,용산구,보광동,2017,8
153759,8,11170510,388,서울,용산구,후암동,2017,8
153794,8,11170520,488,서울,용산구,용산2가동,2017,8
153818,8,11170530,2495,서울,용산구,남영동,2017,8
153831,8,11170555,665,서울,용산구,청파동,2017,8
153871,8,11170560,648,서울,용산구,원효로1동,2017,8
153897,8,11170570,473,서울,용산구,원효로2동,2017,8
153928,8,11170580,546,서울,용산구,효창동,2017,8
153947,8,11170590,422,서울,용산구,용문동,2017,8
153970,8,11170625,1901,서울,용산구,한강로동,2017,8
153999,8,11170630,555,서울,용산구,이촌1동,2017,8
154053,8,11170640,428,서울,용산구,이촌2동,2017,8
154073,8,11170650,1194,서울,용산구,이태원1동,2017,8
154084,8,11170660,586,서울,용산구,이태원2동,2017,8
154102,8,11170685,862,서울,용산구,한남동,2017,8
154140,8,11170690,778,서울,용산구,서빙고동,2017,8
154166,8,11170700,339,서울,용산구,보광동,2017,8
172912,9,11170510,365,서울,용산구,후암동,2017,8
172947,9,11170520,468,서울,용산구,용산2가동,2017,8
172971,9,11170530,2781,서울,용산구,남영동,2017,8
172984,9,11170555,681,서울,용산구,청파동,2017,8
173024,9,11170560,680,서울,용산구,원효로1동,2017,8
173050,9,11170570,470,서울,용산구,원효로2동,2017,8
173081,9,11170580,542,서울,용산구,효창동,2017,8
173100,9,11170590,394,서울,용산구,용문동,2017,8
173123,9,11170625,2087,서울,용산구,한강로동,2017,8
