,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,468,서울,용산구,후암동,2017,6
575,0,11170520,453,서울,용산구,용산2가동,2017,6
599,0,11170530,1087,서울,용산구,남영동,2017,6
612,0,11170555,639,서울,용산구,청파동,2017,6
652,0,11170560,641,서울,용산구,원효로1동,2017,6
678,0,11170570,490,서울,용산구,원효로2동,2017,6
709,0,11170580,489,서울,용산구,효창동,2017,6
728,0,11170590,560,서울,용산구,용문동,2017,6
751,0,11170625,976,서울,용산구,한강로동,2017,6
780,0,11170630,491,서울,용산구,이촌1동,2017,6
834,0,11170640,474,서울,용산구,이촌2동,2017,6
854,0,11170650,1150,서울,용산구,이태원1동,2017,6
865,0,11170660,648,서울,용산구,이태원2동,2017,6
883,0,11170685,671,서울,용산구,한남동,2017,6
921,0,11170690,612,서울,용산구,서빙고동,2017,6
947,0,11170700,436,서울,용산구,보광동,2017,6
19680,1,11170510,478,서울,용산구,후암동,2017,6
19715,1,11170520,439,서울,용산구,용산2가동,2017,6
19739,1,11170530,1046,서울,용산구,남영동,2017,6
19752,1,11170555,637,서울,용산구,청파동,2017,6
19792,1,11170560,645,서울,용산구,원효로1동,2017,6
19818,1,11170570,488,서울,용산구,원효로2동,2017,6
19849,1,11170580,486,서울,용산구,효창동,2017,6
19868,1,11170590,572,서울,용산구,용문동,2017,6
19891,1,11170625,967,서울,용산구,한강로동,2017,6
19920,1,11170630,490,서울,용산구,이촌1동,2017,6
19974,1,11170640,472,서울,용산구,이촌2동,2017,6
19994,1,11170650,1089,서울,용산구,이태원1동,2017,6
20005,1,11170660,640,서울,용산구,이태원2동,2017,6
20023,1,11170685,659,서울,용산구,한남동,2017,6
20061,1,11170690,607,서울,용산구,서빙고동,2017,6
20087,1,11170700,439,서울,용산구,보광동,2017,6
38823,2,11170510,480,서울,용산구,후암동,2017,6
38858,2,11170520,438,서울,용산구,용산2가동,2017,6
38882,2,11170530,1027,서울,용산구,남영동,2017,6
38895,2,11170555,639,서울,용산구,청파동,2017,6
38935,2,11170560,643,서울,용산구,원효로1동,2017,6
38961,2,11170570,488,서울,용산구,원효로2동,2017,6
38992,2,11170580,485,서울,용산구,효창동,2017,6
39011,2,11170590,576,서울,용산구,용문동,2017,6
39034,2,11170625,956,서울,용산구,한강로동,2017,6
39063,2,11170630,486,서울,용산구,이촌1동,2017,6
39117,2,11170640,468,서울,용산구,이촌2동,2017,6
39137,2,11170650,1040,서울,용산구,이태원1동,2017,6
39148,2,11170660,639,서울,용산구,이태원2동,2017,6
39166,2,11170685,655,서울,용산구,한남동,2017,6
39204,2,11170690,609,서울,용산구,서빙고동,2017,6
39230,2,11170700,440,서울,용산구,보광동,2017,6
57966,3,11170510,482,서울,용산구,후암동,2017,6
58001,3,11170520,437,서울,용산구,용산2가동,2017,6
58025,3,11170530,1028,서울,용산구,남영동,2017,6
58038,3,11170555,639,서울,용산구,청파동,2017,6
58078,3,11170560,645,서울,용산구,원효로1동,2017,6
58104,3,11170570,490,서울,용산구,원효로2동,2017,6
58135,3,11170580,486,서울,용산구,효창동,2017,6
58154,3,11170590,576,서울,용산구,용문동,2017,6
58177,3,11170625,963,서울,용산구,한강로동,2017,6
58206,3,11170630,484,서울,용산구,이촌1동,2017,6
58260,3,11170640,464,서울,용산구,이촌2동,2017,6
58280,3,11170650,977,서울,용산구,이태원1동,2017,6
58291,3,11170660,637,서울,용산구,이태원2동,2017,6
58309,3,11170685,649,서울,용산구,한남동,2017,6
58347,3,11170690,608,서울,용산구,서빙고동,2017,6
58373,3,11170700,440,서울,용산구,보광동,2017,6
77111,4,11170510,484,서울,용산구,후암동,2017,6
77146,4,11170520,436,서울,용산구,용산2가동,2017,6
77170,4,11170530,1051,서울,용산구,남영동,2017,6
77183,4,11170555,641,서울,용산구,청파동,2017,6
77223,4,11170560,650,서울,용산구,원효로1동,2017,6
77249,4,11170570,493,서울,용산구,원효로2동,2017,6
77280,4,11170580,484,서울,용산구,효창동,2017,6
77299,4,11170590,575,서울,용산구,용문동,2017,6
77322,4,11170625,972,서울,용산구,한강로동,2017,6
77351,4,11170630,484,서울,용산구,이촌1동,2017,6
77405,4,11170640,462,서울,용산구,이촌2동,2017,6
77425,4,11170650,946,서울,용산구,이태원1동,2017,6
77436,4,11170660,635,서울,용산구,이태원2동,2017,6
77454,4,11170685,651,서울,용산구,한남동,2017,6
77492,4,11170690,619,서울,용산구,서빙고동,2017,6
77518,4,11170700,441,서울,용산구,보광동,2017,6
96256,5,11170510,475,서울,용산구,후암동,2017,6
96291,5,11170520,445,서울,용산구,용산2가동,2017,6
96315,5,11170530,1105,서울,용산구,남영동,2017,6
96328,5,11170555,648,서울,용산구,청파동,2017,6
96368,5,11170560,651,서울,용산구,원효로1동,2017,6
96394,5,11170570,491,서울,용산구,원효로2동,2017,6
96425,5,11170580,494,서울,용산구,효창동,2017,6
96444,5,11170590,569,서울,용산구,용문동,2017,6
96467,5,11170625,996,서울,용산구,한강로동,2017,6
96496,5,11170630,494,서울,용산구,이촌1동,2017,6
96550,5,11170640,473,서울,용산구,이촌2동,2017,6
96570,5,11170650,913,서울,용산구,이태원1동,2017,6
96581,5,11170660,640,서울,용산구,이태원2동,2017,6
96599,5,11170685,660,서울,용산구,한남동,2017,6
96637,5,11170690,641,서울,용산구,서빙고동,2017,6
96663,5,11170700,440,서울,용산구,보광동,2017,6
115399,6,11170510,471,서울,용산구,후암동,2017,6
115434,6,11170520,446,서울,용산구,용산2가동,2017,6
115458,6,11170530,1210,서울,용산구,남영동,2017,6
115471,6,11170555,660,서울,용산구,청파동,2017,6
115511,6,11170560,651,서울,용산구,원효로1동,2017,6
115537,6,11170570,491,서울,용산구,원효로2동,2017,6
115568,6,11170580,501,서울,용산구,효창동,2017,6
115587,6,11170590,561,서울,용산구,용문동,2017,6
115610,6,11170625,1083,서울,용산구,한강로동,2017,6
115639,6,11170630,504,서울,용산구,이촌1동,2017,6
115693,6,11170640,493,서울,용산구,이촌2동,2017,6
115713,6,11170650,943,서울,용산구,이태원1동,2017,6
115724,6,11170660,641,서울,용산구,이태원2동,2017,6
115742,6,11170685,683,서울,용산구,한남동,2017,6
115780,6,11170690,670,서울,용산구,서빙고동,2017,6
115806,6,11170700,435,서울,용산구,보광동,2017,6
134545,7,11170510,455,서울,용산구,후암동,2017,6
134580,7,11170520,486,서울,용산구,용산2가동,2017,6
134604,7,11170530,1555,서울,용산구,남영동,2017,6
134617,7,11170555,676,서울,용산구,청파동,2017,6
134657,7,11170560,643,서울,용산구,원효로1동,2017,6
134683,7,11170570,486,서울,용산구,원효로2동,2017,6
134714,7,11170580,508,서울,용산구,효창동,2017,6
134733,7,11170590,521,서울,용산구,용문동,2017,6
134756,7,11170625,1268,서울,용산구,한강로동,2017,6
134785,7,11170630,519,서울,용산구,이촌1동,2017,6
134839,7,11170640,491,서울,용산구,이촌2동,2017,6
134859,7,11170650,964,서울,용산구,이태원1동,2017,6
134870,7,11170660,618,서울,용산구,이태원2동,2017,6
134888,7,11170685,723,서울,용산구,한남동,2017,6
134926,7,11170690,718,서울,용산구,서빙고동,2017,6
134952,7,11170700,416,서울,용산구,보광동,2017,6
153689,8,11170510,428,서울,용산구,후암동,2017,6
153724,8,11170520,482,서울,용산구,용산2가동,2017,6
153748,8,11170530,2004,서울,용산구,남영동,2017,6
153761,8,11170555,686,서울,용산구,청파동,2017,6
153801,8,11170560,669,서울,용산구,원효로1동,2017,6
153827,8,11170570,483,서울,용산구,원효로2동,2017,6
153858,8,11170580,519,서울,용산구,효창동,2017,6
153877,8,11170590,477,서울,용산구,용문동,2017,6
153900,8,11170625,1437,서울,용산구,한강로동,2017,6
153929,8,11170630,510,서울,용산구,이촌1동,2017,6
153983,8,11170640,463,서울,용산구,이촌2동,2017,6
154003,8,11170650,1047,서울,용산구,이태원1동,2017,6
154014,8,11170660,595,서울,용산구,이태원2동,2017,6
154032,8,11170685,767,서울,용산구,한남동,2017,6
154070,8,11170690,761,서울,용산구,서빙고동,2017,6
154096,8,11170700,392,서울,용산구,보광동,2017,6
172832,9,11170510,414,서울,용산구,후암동,2017,6
172867,9,11170520,476,서울,용산구,용산2가동,2017,6
172891,9,11170530,2174,서울,용산구,남영동,2017,6
172904,9,11170555,704,서울,용산구,청파동,2017,6
172944,9,11170560,691,서울,용산구,원효로1동,2017,6
172970,9,11170570,483,서울,용산구,원효로2동,2017,6
