시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,11170510,450,서울,용산구,후암동,2019,11
0,11170520,523,서울,용산구,용산2가동,2019,11
0,11170530,847,서울,용산구,남영동,2019,11
0,11170555,595,서울,용산구,청파동,2019,11
0,11170560,729,서울,용산구,원효로1동,2019,11
0,11170570,472,서울,용산구,원효로2동,2019,11
0,11170580,484,서울,용산구,효창동,2019,11
0,11170590,513,서울,용산구,용문동,2019,11
0,11170625,924,서울,용산구,한강로동,2019,11
0,11170630,539,서울,용산구,이촌1동,2019,11
0,11170640,389,서울,용산구,이촌2동,2019,11
0,11170650,2274,서울,용산구,이태원1동,2019,11
0,11170660,790,서울,용산구,이태원2동,2019,11
0,11170685,906,서울,용산구,한남동,2019,11
0,11170690,577,서울,용산구,서빙고동,2019,11
0,11170700,464,서울,용산구,보광동,2019,11
1,11170510,452,서울,용산구,후암동,2019,11
1,11170520,517,서울,용산구,용산2가동,2019,11
1,11170530,811,서울,용산구,남영동,2019,11
1,11170555,598,서울,용산구,청파동,2019,11
1,11170560,722,서울,용산구,원효로1동,2019,11
1,11170570,474,서울,용산구,원효로2동,2019,11
1,11170580,487,서울,용산구,효창동,2019,11
1,11170590,521,서울,용산구,용문동,2019,11
1,11170625,889,서울,용산구,한강로동,2019,11
1,11170630,536,서울,용산구,이촌1동,2019,11
1,11170640,392,서울,용산구,이촌2동,2019,11
1,11170650,2118,서울,용산구,이태원1동,2019,11
1,11170660,788,서울,용산구,이태원2동,2019,11
1,11170685,902,서울,용산구,한남동,2019,11
1,11170690,576,서울,용산구,서빙고동,2019,11
1,11170700,465,서울,용산구,보광동,2019,11
2,11170510,455,서울,용산구,후암동,2019,11
2,11170520,513,서울,용산구,용산2가동,2019,11
2,11170530,800,서울,용산구,남영동,2019,11
2,11170555,598,서울,용산구,청파동,2019,11
2,11170560,721,서울,용산구,원효로1동,2019,11
2,11170570,476,서울,용산구,원효로2동,2019,11
2,11170580,494,서울,용산구,효창동,2019,11
2,11170590,521,서울,용산구,용문동,2019,11
2,11170625,869,서울,용산구,한강로동,2019,11
2,11170630,535,서울,용산구,이촌1동,2019,11
2,11170640,398,서울,용산구,이촌2동,2019,11
2,11170650,1918,서울,용산구,이태원1동,2019,11
2,11170660,785,서울,용산구,이태원2동,2019,11
2,11170685,893,서울,용산구,한남동,2019,11
2,11170690,579,서울,용산구,서빙고동,2019,11
2,11170700,473,서울,용산구,보광동,2019,11
3,11170510,458,서울,용산구,후암동,2019,11
3,11170520,515,서울,용산구,용산2가동,2019,11
3,11170530,786,서울,용산구,남영동,2019,11
3,11170555,602,서울,용산구,청파동,2019,11
3,11170560,724,서울,용산구,원효로1동,2019,11
3,11170570,479,서울,용산구,원효로2동,2019,11
3,11170580,496,서울,용산구,효창동,2019,11
3,11170590,523,서울,용산구,용문동,2019,11
3,11170625,862,서울,용산구,한강로동,2019,11
3,11170630,535,서울,용산구,이촌1동,2019,11
3,11170640,401,서울,용산구,이촌2동,2019,11
3,11170650,1722,서울,용산구,이태원1동,2019,11
3,11170660,780,서울,용산구,이태원2동,2019,11
3,11170685,864,서울,용산구,한남동,2019,11
3,11170690,576,서울,용산구,서빙고동,2019,11
3,11170700,478,서울,용산구,보광동,2019,11
4,11170510,457,서울,용산구,후암동,2019,11
4,11170520,517,서울,용산구,용산2가동,2019,11
4,11170530,815,서울,용산구,남영동,2019,11
4,11170555,603,서울,용산구,청파동,2019,11
4,11170560,723,서울,용산구,원효로1동,2019,11
4,11170570,479,서울,용산구,원효로2동,2019,11
4,11170580,501,서울,용산구,효창동,2019,11
4,11170590,524,서울,용산구,용문동,2019,11
4,11170625,892,서울,용산구,한강로동,2019,11
4,11170630,535,서울,용산구,이촌1동,2019,11
4,11170640,402,서울,용산구,이촌2동,2019,11
4,11170650,1531,서울,용산구,이태원1동,2019,11
4,11170660,777,서울,용산구,이태원2동,2019,11
4,11170685,833,서울,용산구,한남동,2019,11
4,11170690,581,서울,용산구,서빙고동,2019,11
4,11170700,485,서울,용산구,보광동,2019,11
5,11170510,455,서울,용산구,후암동,2019,11
5,11170520,514,서울,용산구,용산2가동,2019,11
5,11170530,845,서울,용산구,남영동,2019,11
