Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
19331,4,11170560,672,서울,용산구,원효로1동,2018,1
19540,15,11170570,440,서울,용산구,원효로2동,2018,1
19557,16,11170570,1214,서울,용산구,원효로2동,2018,1
19571,17,11170570,448,서울,용산구,원효로2동,2018,1
19636,21,11170555,593,서울,용산구,청파동,2018,1
19759,4,11170570,1440,서울,용산구,원효로2동,2018,1
19798,6,11170570,420,서울,용산구,원효로2동,2018,1
19827,8,11170570,396,서울,용산구,원효로2동,2018,1
20063,21,11170625,912,서울,용산구,한강로동,2018,1
20141,1,11170570,530,서울,용산구,원효로2동,2018,1
20332,11,11170570,484,서울,용산구,원효로2동,2018,1
20409,15,11170625,1252,서울,용산구,한강로동,2018,1
20428,16,11170625,1452,서울,용산구,한강로동,2018,1
20488,19,11170560,573,서울,용산구,원효로1동,2018,1
20944,20,11170625,966,서울,용산구,한강로동,2018,1
20964,21,11170560,478,서울,용산구,원효로1동,2018,1
20986,22,11170590,771,서울,용산구,용문동,2018,1
20987,22,11170625,1129,서울,용산구,한강로동,2018,1
21012,23,11170560,604,서울,용산구,원효로1동,2018,1
21013,23,11170590,536,서울,용산구,용문동,2018,1
21275,14,11170625,1483,서울,용산구,한강로동,2018,1
21331,17,11170590,714,서울,용산구,용문동,2018,1
21631,9,11170590,745,서울,용산구,용문동,2018,1
21898,22,11170570,465,서울,용산구,원효로2동,2018,1
22421,0,11170685,791,서울,용산구,한남동,2018,1
23482,4,11170640,415,서울,용산구,이촌2동,2018,1
23689,15,11170580,466,서울,용산구,효창동,2018,1
23715,16,11170640,497,서울,용산구,이촌2동,2018,1
23764,18,11170685,713,서울,용산구,한남동,2018,1
23928,2,11170580,523,서울,용산구,효창동,2018,1
24020,7,11170580,558,서울,용산구,효창동,2018,1
24058,9,11170580,555,서울,용산구,효창동,2018,1
24099,11,11170685,629,서울,용산구,한남동,2018,1
24300,21,11170685,609,서울,용산구,한남동,2018,1
24630,14,11170685,820,서울,용산구,한남동,2018,1
25014,9,11170685,723,서울,용산구,한남동,2018,1
25800,23,11170580,623,서울,용산구,효창동,2018,1
25886,3,11170685,619,서울,용산구,한남동,2018,1
26409,8,11170630,979,서울,용산구,이촌1동,2018,1
26908,10,11170630,482,서울,용산구,이촌1동,2018,1
27066,18,11170580,501,서울,용산구,효창동,2018,1
27276,3,11170630,901,서울,용산구,이촌1동,2018,1
27318,5,11170630,492,서울,용산구,이촌1동,2018,1
28035,16,11170630,494,서울,용산구,이촌1동,2018,1
28062,17,11170650,1244,서울,용산구,이태원1동,2018,1
28273,3,11170700,601,서울,용산구,보광동,2018,1
28314,5,11170700,415,서울,용산구,보광동,2018,1
28946,12,11170650,860,서울,용산구,이태원1동,2018,1
29206,0,11170700,411,서울,용산구,보광동,2018,1
29318,6,11170650,983,서울,용산구,이태원1동,2018,1
30928,21,11170700,363,서울,용산구,보광동,2018,1
31148,9,11170520,502,서울,용산구,용산2가동,2018,1
31250,15,11170700,595,서울,용산구,보광동,2018,1
31920,3,11170520,523,서울,용산구,용산2가동,2018,1
32509,11,11170690,742,서울,용산구,서빙고동,2018,1
32863,5,11170690,550,서울,용산구,서빙고동,2018,1
33309,4,11170660,662,서울,용산구,이태원2동,2018,1
34113,1,11170510,517,서울,용산구,후암동,2018,1
35257,16,11170660,600,서울,용산구,이태원2동,2018,1
35296,18,11170660,604,서울,용산구,이태원2동,2018,1
35812,22,11170510,387,서울,용산구,후암동,2018,1
35868,2,11170555,462,서울,용산구,청파동,2018,1
36062,13,11170660,603,서울,용산구,이태원2동,2018,1
36130,16,11170510,367,서울,용산구,후암동,2018,1
37574,23,11170555,596,서울,용산구,청파동,2018,1
37872,15,11170530,2044,서울,용산구,남영동,2018,1
37908,17,11170555,598,서울,용산구,청파동,2018,1
38667,10,11170530,1409,서울,용산구,남영동,2018,1
38685,11,11170555,589,서울,용산구,청파동,2018,1
39001,5,11170555,578,서울,용산구,청파동,2018,1
39199,15,11170560,1257,서울,용산구,원효로1동,2018,1
39239,17,11170560,733,서울,용산구,원효로1동,2018,1
39996,11,11170625,1172,서울,용산구,한강로동,2018,1
40279,2,11170625,768,서울,용산구,한강로동,2018,1
40407,9,11170560,616,서울,용산구,원효로1동,2018,1
41115,0,11170590,455,서울,용산구,용문동,2018,1
41376,14,11170570,438,서울,용산구,원효로2동,2018,1
41473,20,11170555,508,서울,용산구,청파동,2018,1
41592,3,11170570,463,서울,용산구,원효로2동,2018,1
41631,5,11170570,445,서울,용산구,원효로2동,2018,1
41660,7,11170570,1104,서울,용산구,원효로2동,2018,1
41966,0,11170570,644,서울,용산구,원효로2동,2018,1
42159,10,11170570,1491,서울,용산구,원효로2동,2018,1
42336,19,11170625,1070,서울,용산구,한강로동,2018,1
42808,21,11170590,429,서울,용산구,용문동,2018,1
43147,16,11170590,385,서울,용산구,용문동,2018,1
43439,8,11170590,432,서울,용산구,용문동,2018,1
43705,21,11170570,443,서울,용산구,원효로2동,2018,1
45277,3,11170640,554,서울,용산구,이촌2동,2018,1
45485,14,11170580,486,서울,용산구,효창동,2018,1
45511,15,11170640,499,서울,용산구,이촌2동,2018,1
45560,17,11170685,539,서울,용산구,한남동,2018,1
45722,1,11170580,790,서울,용산구,효창동,2018,1
45814,6,11170580,763,서울,용산구,효창동,2018,1
46099,20,11170685,611,서울,용산구,한남동,2018,1
46816,8,11170685,617,서울,용산구,한남동,2018,1
47597,22,11170580,640,서울,용산구,효창동,2018,1
47677,2,11170685,652,서울,용산구,한남동,2018,1
48858,17,11170580,465,서울,용산구,효창동,2018,1
49509,23,11170685,594,서울,용산구,한남동,2018,1
49812,15,11170630,688,서울,용산구,이촌1동,2018,1
49839,16,11170650,922,서울,용산구,이태원1동,2018,1
50045,2,11170700,961,서울,용산구,보광동,2018,1
50721,11,11170650,1214,서울,용산구,이태원1동,2018,1
51091,5,11170650,1511,서울,용산구,이태원1동,2018,1
51914,23,11170700,419,서울,용산구,보광동,2018,1
52696,20,11170700,361,서울,용산구,보광동,2018,1
52917,8,11170520,916,서울,용산구,용산2가동,2018,1
53020,14,11170700,434,서울,용산구,보광동,2018,1
53692,2,11170520,394,서울,용산구,용산2가동,2018,1
54280,10,11170690,784,서울,용산구,서빙고동,2018,1
54632,4,11170690,598,서울,용산구,서빙고동,2018,1
55071,3,11170660,707,서울,용산구,이태원2동,2018,1
55434,23,11170520,494,서울,용산구,용산2가동,2018,1
55876,0,11170510,544,서울,용산구,후암동,2018,1
57009,15,11170660,645,서울,용산구,이태원2동,2018,1
57559,21,11170510,463,서울,용산구,후암동,2018,1
57805,12,11170660,521,서울,용산구,이태원2동,2018,1
57873,15,11170510,442,서울,용산구,후암동,2018,1
59629,14,11170530,987,서울,용산구,남영동,2018,1
59665,16,11170555,1535,서울,용산구,청파동,2018,1
59972,9,11170530,955,서울,용산구,남영동,2018,1
60437,10,11170555,801,서울,용산구,청파동,2018,1
60747,4,11170555,598,서울,용산구,청파동,2018,1
60946,14,11170560,594,서울,용산구,원효로1동,2018,1
61746,10,11170625,1471,서울,용산구,한강로동,2018,1
62153,8,11170560,743,서울,용산구,원효로1동,2018,1
63112,13,11170570,501,서울,용산구,원효로2동,2018,1
63335,2,11170570,425,서울,용산구,원효로2동,2018,1
64081,18,11170625,1318,서울,용산구,한강로동,2018,1
64547,20,11170590,1551,서울,용산구,용문동,2018,1
64885,15,11170590,418,서울,용산구,용문동,2018,1
65041,23,11170570,437,서울,용산구,원효로2동,2018,1
65174,7,11170590,441,서울,용산구,용문동,2018,1
65440,20,11170570,392,서울,용산구,원효로2동,2018,1
66963,2,11170640,562,서울,용산구,이촌2동,2018,1
67176,13,11170580,544,서울,용산구,효창동,2018,1
67202,14,11170640,401,서울,용산구,이촌2동,2018,1
67401,0,11170580,498,서울,용산구,효창동,2018,1
67493,5,11170580,588,서울,용산구,효창동,2018,1
68481,7,11170685,626,서울,용산구,한남동,2018,1
68822,23,11170640,452,서울,용산구,이촌2동,2018,1
69240,21,11170580,534,서울,용산구,효창동,2018,1
71426,14,11170630,486,서울,용산구,이촌1동,2018,1
71453,15,11170650,1398,서울,용산구,이태원1동,2018,1
72339,10,11170650,1160,서울,용산구,이태원1동,2018,1
72708,4,11170650,1663,서울,용산구,이태원1동,2018,1
73898,19,11170700,356,서울,용산구,보광동,2018,1
74531,7,11170520,1151,서울,용산구,용산2가동,2018,1
74634,13,11170700,439,서울,용산구,보광동,2018,1
75304,1,11170520,400,서울,용산구,용산2가동,2018,1
75429,9,11170690,715,서울,용산구,서빙고동,2018,1
76227,3,11170690,594,서울,용산구,서빙고동,2018,1
76654,2,11170660,610,서울,용산구,이태원2동,2018,1
77019,22,11170520,593,서울,용산구,용산2가동,2018,1
78309,23,11170660,658,서울,용산구,이태원2동,2018,1
79382,11,11170660,624,서울,용산구,이태원2동,2018,1
79450,14,11170510,367,서울,용산구,후암동,2018,1
81222,13,11170530,2029,서울,용산구,남영동,2018,1
81258,15,11170555,606,서울,용산구,청파동,2018,1
81567,8,11170530,1029,서울,용산구,남영동,2018,1
81585,9,11170555,579,서울,용산구,청파동,2018,1
82544,13,11170560,844,서울,용산구,원효로1동,2018,1
82906,9,11170625,1083,서울,용산구,한강로동,2018,1
83767,7,11170560,1612,서울,용산구,원효로1동,2018,1
85709,17,11170625,1185,서울,용산구,한강로동,2018,1
85751,19,11170590,425,서울,용산구,용문동,2018,1
86514,14,11170590,404,서울,용산구,용문동,2018,1
86617,19,11170570,520,서울,용산구,원효로2동,2018,1
86812,6,11170590,548,서울,용산구,용문동,2018,1
88797,12,11170580,456,서울,용산구,효창동,2018,1
88823,13,11170640,544,서울,용산구,이촌2동,2018,1
90098,6,11170685,620,서울,용산구,한남동,2018,1
90849,20,11170580,978,서울,용산구,효창동,2018,1
93033,14,11170650,1249,서울,용산구,이태원1동,2018,1
93409,9,11170650,1135,서울,용산구,이태원1동,2018,1
94278,3,11170650,1395,서울,용산구,이태원1동,2018,1
95461,18,11170700,363,서울,용산구,보광동,2018,1
