시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,11170510,477,서울,용산구,후암동,2017,1
0,11170520,472,서울,용산구,용산2가동,2017,1
0,11170530,986,서울,용산구,남영동,2017,1
0,11170555,638,서울,용산구,청파동,2017,1
0,11170560,516,서울,용산구,원효로1동,2017,1
0,11170570,494,서울,용산구,원효로2동,2017,1
0,11170580,522,서울,용산구,효창동,2017,1
0,11170590,558,서울,용산구,용문동,2017,1
0,11170625,918,서울,용산구,한강로동,2017,1
0,11170630,507,서울,용산구,이촌1동,2017,1
0,11170640,546,서울,용산구,이촌2동,2017,1
0,11170650,1930,서울,용산구,이태원1동,2017,1
0,11170660,694,서울,용산구,이태원2동,2017,1
0,11170685,687,서울,용산구,한남동,2017,1
0,11170690,622,서울,용산구,서빙고동,2017,1
0,11170700,430,서울,용산구,보광동,2017,1
1,11170510,479,서울,용산구,후암동,2017,1
1,11170520,457,서울,용산구,용산2가동,2017,1
1,11170530,859,서울,용산구,남영동,2017,1
1,11170555,599,서울,용산구,청파동,2017,1
1,11170560,523,서울,용산구,원효로1동,2017,1
1,11170570,500,서울,용산구,원효로2동,2017,1
1,11170580,531,서울,용산구,효창동,2017,1
1,11170590,567,서울,용산구,용문동,2017,1
1,11170625,895,서울,용산구,한강로동,2017,1
1,11170630,493,서울,용산구,이촌1동,2017,1
1,11170640,540,서울,용산구,이촌2동,2017,1
1,11170650,1876,서울,용산구,이태원1동,2017,1
1,11170660,685,서울,용산구,이태원2동,2017,1
1,11170685,669,서울,용산구,한남동,2017,1
1,11170690,624,서울,용산구,서빙고동,2017,1
1,11170700,433,서울,용산구,보광동,2017,1
2,11170510,481,서울,용산구,후암동,2017,1
2,11170520,455,서울,용산구,용산2가동,2017,1
2,11170530,818,서울,용산구,남영동,2017,1
2,11170555,598,서울,용산구,청파동,2017,1
2,11170560,521,서울,용산구,원효로1동,2017,1
2,11170570,497,서울,용산구,원효로2동,2017,1
2,11170580,530,서울,용산구,효창동,2017,1
2,11170590,574,서울,용산구,용문동,2017,1
2,11170625,888,서울,용산구,한강로동,2017,1
2,11170630,488,서울,용산구,이촌1동,2017,1
2,11170640,531,서울,용산구,이촌2동,2017,1
2,11170650,1780,서울,용산구,이태원1동,2017,1
2,11170660,671,서울,용산구,이태원2동,2017,1
2,11170685,654,서울,용산구,한남동,2017,1
2,11170690,620,서울,용산구,서빙고동,2017,1
2,11170700,432,서울,용산구,보광동,2017,1
3,11170510,482,서울,용산구,후암동,2017,1
3,11170520,453,서울,용산구,용산2가동,2017,1
3,11170530,811,서울,용산구,남영동,2017,1
3,11170555,597,서울,용산구,청파동,2017,1
3,11170560,522,서울,용산구,원효로1동,2017,1
3,11170570,496,서울,용산구,원효로2동,2017,1
3,11170580,530,서울,용산구,효창동,2017,1
3,11170590,574,서울,용산구,용문동,2017,1
3,11170625,887,서울,용산구,한강로동,2017,1
3,11170630,487,서울,용산구,이촌1동,2017,1
3,11170640,529,서울,용산구,이촌2동,2017,1
3,11170650,1641,서울,용산구,이태원1동,2017,1
3,11170660,674,서울,용산구,이태원2동,2017,1
3,11170685,645,서울,용산구,한남동,2017,1
3,11170690,619,서울,용산구,서빙고동,2017,1
3,11170700,431,서울,용산구,보광동,2017,1
4,11170510,482,서울,용산구,후암동,2017,1
4,11170520,464,서울,용산구,용산2가동,2017,1
4,11170530,840,서울,용산구,남영동,2017,1
4,11170555,601,서울,용산구,청파동,2017,1
4,11170560,522,서울,용산구,원효로1동,2017,1
4,11170570,500,서울,용산구,원효로2동,2017,1
4,11170580,533,서울,용산구,효창동,2017,1
4,11170590,570,서울,용산구,용문동,2017,1
4,11170625,891,서울,용산구,한강로동,2017,1
4,11170630,488,서울,용산구,이촌1동,2017,1
4,11170640,524,서울,용산구,이촌2동,2017,1
4,11170650,1475,서울,용산구,이태원1동,2017,1
4,11170660,672,서울,용산구,이태원2동,2017,1
4,11170685,642,서울,용산구,한남동,2017,1
4,11170690,622,서울,용산구,서빙고동,2017,1
4,11170700,435,서울,용산구,보광동,2017,1
5,11170510,482,서울,용산구,후암동,2017,1
5,11170520,470,서울,용산구,용산2가동,2017,1
5,11170530,907,서울,용산구,남영동,2017,1
5,11170555,603,서울,용산구,청파동,2017,1
5,11170560,520,서울,용산구,원효로1동,2017,1
5,11170570,497,서울,용산구,원효로2동,2017,1
5,11170580,543,서울,용산구,효창동,2017,1
5,11170590,564,서울,용산구,용문동,2017,1
5,11170625,908,서울,용산구,한강로동,2017,1
5,11170630,502,서울,용산구,이촌1동,2017,1
5,11170640,538,서울,용산구,이촌2동,2017,1
5,11170650,1327,서울,용산구,이태원1동,2017,1
5,11170660,673,서울,용산구,이태원2동,2017,1
5,11170685,648,서울,용산구,한남동,2017,1
5,11170690,652,서울,용산구,서빙고동,2017,1
5,11170700,431,서울,용산구,보광동,2017,1
6,11170510,492,서울,용산구,후암동,2017,1
6,11170520,472,서울,용산구,용산2가동,2017,1
6,11170530,992,서울,용산구,남영동,2017,1
6,11170555,614,서울,용산구,청파동,2017,1
6,11170560,516,서울,용산구,원효로1동,2017,1
6,11170570,496,서울,용산구,원효로2동,2017,1
6,11170580,556,서울,용산구,효창동,2017,1
6,11170590,552,서울,용산구,용문동,2017,1
6,11170625,1012,서울,용산구,한강로동,2017,1
6,11170630,525,서울,용산구,이촌1동,2017,1
6,11170640,552,서울,용산구,이촌2동,2017,1
6,11170650,1177,서울,용산구,이태원1동,2017,1
6,11170660,697,서울,용산구,이태원2동,2017,1
6,11170685,667,서울,용산구,한남동,2017,1
6,11170690,706,서울,용산구,서빙고동,2017,1
6,11170700,421,서울,용산구,보광동,2017,1
7,11170510,469,서울,용산구,후암동,2017,1
7,11170520,502,서울,용산구,용산2가동,2017,1
7,11170530,1287,서울,용산구,남영동,2017,1
7,11170555,646,서울,용산구,청파동,2017,1
7,11170560,508,서울,용산구,원효로1동,2017,1
7,11170570,495,서울,용산구,원효로2동,2017,1
7,11170580,571,서울,용산구,효창동,2017,1
7,11170590,515,서울,용산구,용문동,2017,1
7,11170625,1193,서울,용산구,한강로동,2017,1
7,11170630,555,서울,용산구,이촌1동,2017,1
7,11170640,570,서울,용산구,이촌2동,2017,1
7,11170650,1161,서울,용산구,이태원1동,2017,1
7,11170660,703,서울,용산구,이태원2동,2017,1
7,11170685,709,서울,용산구,한남동,2017,1
7,11170690,799,서울,용산구,서빙고동,2017,1
7,11170700,403,서울,용산구,보광동,2017,1
8,11170510,464,서울,용산구,후암동,2017,1
8,11170520,478,서울,용산구,용산2가동,2017,1
8,11170530,1676,서울,용산구,남영동,2017,1
8,11170555,673,서울,용산구,청파동,2017,1
8,11170560,542,서울,용산구,원효로1동,2017,1
8,11170570,490,서울,용산구,원효로2동,2017,1
8,11170580,592,서울,용산구,효창동,2017,1
8,11170590,484,서울,용산구,용문동,2017,1
8,11170625,1385,서울,용산구,한강로동,2017,1
8,11170630,549,서울,용산구,이촌1동,2017,1
8,11170640,528,서울,용산구,이촌2동,2017,1
8,11170650,1168,서울,용산구,이태원1동,2017,1
8,11170660,658,서울,용산구,이태원2동,2017,1
8,11170685,746,서울,용산구,한남동,2017,1
8,11170690,856,서울,용산구,서빙고동,2017,1
8,11170700,371,서울,용산구,보광동,2017,1
9,11170510,437,서울,용산구,후암동,2017,1
9,11170520,468,서울,용산구,용산2가동,2017,1
9,11170530,1844,서울,용산구,남영동,2017,1
9,11170555,696,서울,용산구,청파동,2017,1
9,11170560,564,서울,용산구,원효로1동,2017,1
9,11170570,478,서울,용산구,원효로2동,2017,1
9,11170580,588,서울,용산구,효창동,2017,1
9,11170590,467,서울,용산구,용문동,2017,1
9,11170625,1574,서울,용산구,한강로동,2017,1
9,11170630,547,서울,용산구,이촌1동,2017,1
9,11170640,503,서울,용산구,이촌2동,2017,1
9,11170650,1200,서울,용산구,이태원1동,2017,1
9,11170660,625,서울,용산구,이태원2동,2017,1
9,11170685,786,서울,용산구,한남동,2017,1
9,11170690,889,서울,용산구,서빙고동,2017,1
9,11170700,356,서울,용산구,보광동,2017,1
10,11170510,428,서울,용산구,후암동,2017,1
10,11170520,477,서울,용산구,용산2가동,2017,1
10,11170530,2012,서울,용산구,남영동,2017,1
10,11170555,734,서울,용산구,청파동,2017,1
10,11170560,572,서울,용산구,원효로1동,2017,1
10,11170570,482,서울,용산구,원효로2동,2017,1
10,11170580,581,서울,용산구,효창동,2017,1
10,11170590,445,서울,용산구,용문동,2017,1
10,11170625,1691,서울,용산구,한강로동,2017,1
10,11170630,533,서울,용산구,이촌1동,2017,1
10,11170640,489,서울,용산구,이촌2동,2017,1
10,11170650,1238,서울,용산구,이태원1동,2017,1
10,11170660,615,서울,용산구,이태원2동,2017,1
10,11170685,791,서울,용산구,한남동,2017,1
10,11170690,909,서울,용산구,서빙고동,2017,1
10,11170700,344,서울,용산구,보광동,2017,1
11,11170510,423,서울,용산구,후암동,2017,1
11,11170520,488,서울,용산구,용산2가동,2017,1
11,11170530,2180,서울,용산구,남영동,2017,1
11,11170555,762,서울,용산구,청파동,2017,1
11,11170560,584,서울,용산구,원효로1동,2017,1
11,11170570,466,서울,용산구,원효로2동,2017,1
11,11170580,576,서울,용산구,효창동,2017,1
11,11170590,432,서울,용산구,용문동,2017,1
11,11170625,1844,서울,용산구,한강로동,2017,1
11,11170630,535,서울,용산구,이촌1동,2017,1
11,11170640,485,서울,용산구,이촌2동,2017,1
11,11170650,1287,서울,용산구,이태원1동,2017,1
11,11170660,601,서울,용산구,이태원2동,2017,1
11,11170685,801,서울,용산구,한남동,2017,1
11,11170690,928,서울,용산구,서빙고동,2017,1
11,11170700,333,서울,용산구,보광동,2017,1
12,11170510,413,서울,용산구,후암동,2017,1
12,11170520,492,서울,용산구,용산2가동,2017,1
12,11170530,2248,서울,용산구,남영동,2017,1
12,11170555,748,서울,용산구,청파동,2017,1
12,11170560,567,서울,용산구,원효로1동,2017,1
12,11170570,476,서울,용산구,원효로2동,2017,1
12,11170580,578,서울,용산구,효창동,2017,1
12,11170590,427,서울,용산구,용문동,2017,1
12,11170625,1945,서울,용산구,한강로동,2017,1
12,11170630,514,서울,용산구,이촌1동,2017,1
12,11170640,448,서울,용산구,이촌2동,2017,1
12,11170650,1361,서울,용산구,이태원1동,2017,1
12,11170660,604,서울,용산구,이태원2동,2017,1
12,11170685,832,서울,용산구,한남동,2017,1
12,11170690,930,서울,용산구,서빙고동,2017,1
12,11170700,327,서울,용산구,보광동,2017,1
13,11170510,397,서울,용산구,후암동,2017,1
13,11170520,492,서울,용산구,용산2가동,2017,1
13,11170530,2198,서울,용산구,남영동,2017,1
13,11170555,741,서울,용산구,청파동,2017,1
